neutron beam energy in center of target = 11.9 MeV
target = 48Ca
theta_cm (deg)  dsigma/domega(mb)  error(%)
35.68  125.764  4.
40.77  66.1811  4.4
45.84  42.4443  5.5
50.91  40.2898  3.8
55.98  38.3059  4.7
61.03  44.2060  4.4
66.08  42.5305  4.2
71.12  39.1226  3.6
76.15  28.8318  4.3
81.18  26.7680  4.5
86.19  28.4199  4.0
91.19  28.4828  3.8
96.19  31.5774  3.6
101.18  35.3317  3.2
106.15  36.2230  3.4
111.12  35.7541  3.5
116.08  34.5823  4.0
121.03  26.5402  3.2
125.98  21.7950  5.3
130.91  15.8121  4.7
135.84  13.5019  7.0
140.77  16.3616  3.3
142.74  19.3868  3.7
