neutron beam energy in center of target = 16.8 MeV
target = 48Ca
theta_cm (deg)    dsigma/domega (mb)  error(5)
35.68  35.2015  13.9
40.77  74.5000  4.6
45.84  91.8948  4.0
50.91  97.8984  3.5
61.03  57.6721  4.1
66.08  38.1853  5.8
71.12  19.9493  5.5
76.15  28.4514  4.2
81.18  29.6632  4.3
86.19  29.4629  4.1
91.19  28.4113  4.0
96.19  24.3473  4.3
101.18  18.5401  3.3
106.15  17.9440  4.6
111.12  15.4132  3.7
116.08  13.9036  4.5
121.03  10.4997  3.4
125.98  11.0530  5.4
130.91  9.07114  4.0
135.84  8.78284  5.2
140.77  10.7138  5.7
143.72  11.7972  4.8
