Total Neutron cross-sections for calcium-48

E [Mev] 	xsec [b]	dxsec [b]
 12.04  	2.685		0.070
 12.60  	2.621		0.053
 13.20  	2.565		0.047
 13.82  	2.463		0.043
 14.47  	2.351		0.041
 15.15  	2.323		0.041
 15.87  	2.310		0.039
 16.62  	2.255		0.038
 17.40  	2.220		0.038
 18.22  	2.219		0.037
 19.08  	2.187		0.037
 19.98  	2.245		0.037
 20.92  	2.245		0.038
 21.91  	2.222		0.038
 22.94  	2.256		0.037
 24.02  	2.213		0.037
 25.16  	2.315		0.037
 26.34  	2.357		0.036
 27.58  	2.312		0.036
 28.88  	2.380		0.035
 30.25  	2.391		0.034
 31.67  	2.393		0.034
 33.17  	2.403		0.034
 34.73  	2.455		0.033
 36.37  	2.471		0.032
 38.08  	2.497		0.032
 39.88  	2.440		0.031
 41.76  	2.496		0.031
 43.73  	2.462		0.030
 45.79  	2.434		0.030
 47.95  	2.399		0.029
 50.21  	2.392		0.028
 52.58  	2.322		0.028
 55.05  	2.294		0.027
 57.65  	2.253		0.027
 60.37  	2.256		0.026
 63.21  	2.123		0.026
 66.19  	2.093		0.025
 69.32  	2.070		0.025
 72.58  	2.016		0.024
 76.01  	1.929		0.024
 79.59  	1.893		0.024
 83.34  	1.787		0.023
 87.27  	1.721		0.023
 91.39  	1.634		0.023
 95.70  	1.595		0.022
100.21  	1.504		0.022
104.93  	1.474		0.022
109.88  	1.386		0.021
115.06  	1.301		0.021
120.49  	1.280		0.021
126.17  	1.273		0.021
132.12  	1.161		0.021
138.35  	1.176		0.020
144.87  	1.102		0.020
151.70  	1.031		0.020
158.85  	1.028		0.020
166.34  	1.040		0.020
174.19  	1.018		0.020
182.40  	0.957		0.020
191.00  	0.949		0.020
200.01  	0.940		0.020
209.44  	0.924		0.020
219.31  	0.899		0.020
229.65  	0.907		0.020
240.48  	0.878		0.020
251.82  	0.882		0.020
263.69  	0.872		0.020
276.13  	0.852		0.019
