0 -23.534
1 -45.9607
2 -36.9474
3 -40.3353
0.05 0.05 -78.9993
0.10975 0.109661 -78.935
0.1695 0.169043 -78.8866
0.22925 0.227997 -78.8399
0.289 0.286375 -78.7923
0.34875 0.344031 -78.7427
0.4085 0.400821 -78.6904
0.46825 0.456604 -78.6348
0.528 0.511245 -78.5754
0.58775 0.564609 -78.5118
0.6475 0.616566 -78.4434
0.70725 0.666991 -78.3698
0.767 0.715765 -78.2905
0.82675 0.762773 -78.2048
0.8865 0.807904 -78.1124
0.94625 0.851055 -78.0127
1.006 0.892129 -77.905
1.06575 0.931036 -77.7888
1.1255 0.967692 -77.6633
1.18525 1.00202 -77.5281
1.245 1.03395 -77.3822
1.30475 1.06343 -77.225
1.3645 1.0904 -77.0557
1.42425 1.11481 -76.8733
1.484 1.13664 -76.6771
1.54375 1.15586 -76.4661
1.6035 1.17244 -76.2392
1.66325 1.18638 -75.9955
1.723 1.19768 -75.7338
1.78275 1.20635 -75.4531
1.8425 1.21241 -75.1521
1.90225 1.21589 -74.8295
1.962 1.21682 -74.4842
2.02175 1.21526 -74.1148
2.0815 1.21126 -73.72
2.14125 1.20488 -73.2984
2.201 1.19619 -72.8486
2.26075 1.18528 -72.3693
2.3205 1.17224 -71.8592
2.38025 1.15715 -71.3167
2.44 1.14013 -70.7407
2.49975 1.12128 -70.1298
2.5595 1.10072 -69.4828
2.61925 1.07855 -68.7987
2.679 1.05492 -68.0764
2.73875 1.02994 -67.315
2.7985 1.00374 -66.5137
2.85825 0.976452 -65.672
2.918 0.948213 -64.7893
2.97775 0.919155 -63.8656
3.0375 0.88941 -62.9009
3.09725 0.859108 -61.8952
3.157 0.82838 -60.8492
3.21675 0.797352 -59.7635
3.2765 0.766149 -58.6391
3.33625 0.734888 -57.4774
3.396 0.703686 -56.2797
3.45575 0.672652 -55.0478
3.5155 0.641888 -53.7839
3.57525 0.611493 -52.49
3.635 0.581558 -51.1687
3.69475 0.552166 -49.8226
3.7545 0.523394 -48.4546
3.81425 0.49531 -47.0678
3.874 0.467977 -45.6651
3.93375 0.441447 -44.2499
3.9935 0.415768 -42.8254
4.05325 0.390977 -41.3951
4.113 0.367106 -39.9623
4.17275 0.344177 -38.5305
4.2325 0.322207 -37.103
