2.38 -1
ABRAMSON,Prog.Rep.Report from Euratom-countries+Euratom to EANDC, No.149 (1971)
15 X
   153.7   243.       18.
   150.7   204.       17.
   144.8   172.       14.
   124.2   75.        11.
   121.2   58.        9.
   115.3   56.        10.
   94.4   81.        12.
   91.4   98.        12.
   85.4    108.       12.
   64.3    217.       19.
   61.2    242.       20.
   55.2    280.       21.
   33.8    440.       33.
   30.7    489.       34.
   24.6    578.       45.
0 A
2.45 -1
ABRAMSON,Prog.Rep.Report from Euratom-countries+Euratom to EANDC, No.149 (1971)
19 X
 153.8   409.       25.
 150.3   360.       25.
 144.7   299.       24.
 135.9   207.       22.
 124.4   124.       10.
 120.8   116.       10.
 115.2   103.       7.
 106.3   100.       14.
 94.6    109.       7.
 91.     119.       10.
 85.3    126.       9.
 76.3    144.       15.
 64.5    201.       12.
 60.8    236.       14.
 55.1    311.       25.
 45.9    439.       57.
 34.0    643.       58.
 30.30    722.       65.
 24.5    868.       83.
0 A
2.56 -1
ABRAMSON,Prog.Rep.Report from Euratom-countries+Euratom to EANDC, No.149 (1971)
15 X
 153.8   447.       34.
 150.3   410.       34.
 144.7   307.       28.
 124.3   155.       18.
 120.8   133.       13.
 115.2   116.       11.
 94.6    105.       11.
 91.     113.       11.
 85.3    111.       9.
 64.5    112.       30.
 60.8    141.       23.
 55.1    226.       20.
 34.0    498.       50.
 30.3    589.       45.
 24.5    784.       60.
0 A
2.71 -1
ABRAMSON,Prog.Rep.Report from Euratom-countries+Euratom to EANDC, No.149 (1971)
19 X
 153.8   404.       32.
 150.3   364.       31.
 144.7   300.       25.
 135.9   218.       39.
 124.4   116.       8.
 120.8   107.       8.
 115.2   90.        8.
 106.3   84.        16.
 94.6   86.        17.
 91.   85.        11.
 85.3    81.        9.
 76.3    110.       18.
 64.5    206.       17.
 60.8    238.       27.
 55.1    340.       29.
 45.9    613.       100.
 34.0    849.       65.
 30.3    987.       15.
 24.5    1128.      70.
0 A
2.83 -1
ABRAMSON,Prog.Rep.Report from Euratom-countries+Euratom to EANDC, No.149 (1971)
19 X
 153.8   255.       19.
 150.3   238.       21.
 144.7   193.       15.
 135.9   144.       36.
 124.4   83.        10.
 120.8   81.        8.
 115.2   75.        5.
 106.3   75.        18.
 94.6   90.        8.
 91.   101.       10.
 85.3    108.       8.
 76.3    124.       14.
 64.5    210.       22.
 60.8    252.       20.
 55.1    311.       23.
 45.9    457.       56.
 34.0    748.       63.
 30.3    905.       68.
 24.5    994.       64.
0 A
9.9 1
TornowNucPhysA385_373(1982)fromDataThief
21 X
25.7441 789.4979 -7.0
28.6959 547.5334 -7.0
33.4237 293.0134 -7.0
37.859 159.216 -7.0
43.4816 70.9567 -7.0
49.106 31.1442 -7.0
54.9576 22.6102 -7.0
60.509 17.7151 -7.0
65.4407 18.8293 -7.0
70.69 16.1662 -7.0
75.0618 14.5295 -7.0
80.9037 11.3839 -7.0
86.1549 9.626 -7.0
91.3542 12.2858 -7.0
101.7603 18.8293 -7.0
111.316 24.4015 -7.0
120.6023 26.7394 -7.0
128.1818 21.9311 -7.0
135.742 20.9504 -7.0
145.0745 15.9216 -7.0
156.4004 16.6669 -7.0
16 A
20.4125 -0.0406 0.0224
24.1818 -0.0115 0.0269
28.6777 0.0355 0.0247
38.6674 0.0197 0.0247
49.0398 -0.3526 0.0605
60.7107 -0.7586 0.0628
70.6913 -0.8372 0.0538
80.7323 -0.4988 0.0762
91.4846 -0.2478 0.0987
101.8824 -0.4452 0.0336
111.1734 -0.2861 0.0628
120.7364 -0.2481 0.0336
129.9647 -0.5218 0.0404
139.6222 -0.8313 0.0471
151.1236 -0.4077 0.0583
156.2377 -0.0916 0.0807
11. 1
Rapaport_NucPhysA286_232(1977)__________from_DataThief
28 X
20.3706 945.8629 -5.0
24.4808 566.428 -5.0
30.2428 328.7061 -5.0
34.8992 176.5732 -5.0
40.376 82.4791 -5.0
45.3058 42.2891 -5.0
49.7089 37.3132 -5.0
54.6652 34.4854 -5.0
60.174 32.8712 -5.0
65.396 24.4502 -5.0
70.6028 12.9302 -5.0
75.5354 7.0538 -5.0
80.2106 5.7591 -5.0
85.4563 7.2574 -5.0
91.2587 10.3517 -10.0
96.2352 14.9992 -10.0
100.9291 18.613 -10.0
106.7155 18.5852 -10.0
111.3907 15.174 -10.0
116.3505 15.1546 -10.0
121.0256 12.3731 -10.0
125.9875 12.9456 -15.0
131.7704 11.962 -15.0
136.7308 12.1334 -15.0
141.6906 12.1178 -15.0
146.0895 9.7421 -15.0
151.5851 6.9165 -15.0
156.2728 7.4651 -15.0
0 A
11.9 1
Tornow_NucPhysA385_373(1982)_____________from_DataThief
26 X
28.1722 428.9931 -7.0
33.8011 215.9917 -7.0
38.2797 100.7654 -7.0
41.5504 62.8078 -7.0
44.2183 44.9074 -7.0
50.3248 43.5585 -7.0
54.9617 47.0095 -7.0
59.3272 44.9074 -7.0
64.8791 36.832 -7.0
69.8811 24.7765 -7.0
75.1785 16.1662 -7.0
81.3042 13.8798 -7.0
87.0841 16.923 -7.0
92.2732 21.9311 -7.0
96.3194 25.1572 -7.0
101.8303 26.7394 -7.0
106.1887 26.7394 -7.0
111.145 24.0323 -7.0
116.1109 20.3211 -7.0
121.072 17.7151 -7.0
125.44 16.6669 -7.0
131.5489 15.9216 -7.0
135.6311 14.5295 -7.0
140.2993 12.8609 -7.0
144.9602 11.9168 -7.0
151.3405 12.8609 -7.0
16 A
20.582 -0.0159 0.0692
24.7794 0.022 0.029
28.5417 0.0621 0.0402
38.9652 0.1401 0.0491
50.9065 -0.2551 0.0446
60.3796 -0.6191 0.0402
69.9781 -0.8491 0.0871
81.407 -0.7086 0.0938
92.2084 -0.2378 0.0558
101.6403 -0.3182 0.058
110.6278 -0.3317 0.0536
120.4673 -0.2247 0.0871
130.7627 -0.2628 0.0893
140.4117 -0.841 0.0714
150.8951 -0.176 0.0826
156.4728 0.3373 0.1272
13.9 1
Honore_PhysRevC33_1129(1986)_____________from_DataThief
27 X
27.2952 252.0776 -5.0
32.9107 134.3871 -5.0
37.5955 46.6819 -5.0
40.9433 40.6396 -5.0
45.3633 40.5938 -5.0
49.3393 57.6654 -5.0
55.135 64.0924 -5.0
59.5474 52.4684 -5.0
64.2629 41.0216 -5.0
68.6718 30.6351 -5.0
74.1419 19.6259 -5.0
80.2308 16.0596 -5.0
86.7926 19.8644 -5.0
91.5238 23.4788 -5.0
95.7971 27.3325 -5.0
99.9128 27.725 -5.0
104.9366 23.7595 -5.0
108.7376 18.5804 -5.0
113.6038 13.8742 -5.0
120.2937 9.0226 -5.0
125.168 8.3475 -5.0
129.5862 7.9638 -5.0
134.0078 8.3287 -5.0
139.3434 8.5759 -5.0
144.5277 9.1053 -5.0
149.4113 10.7617 -5.0
153.6857 12.9175 -5.0
17 A
20.5202 -0.0324 0.0365
25.099 -0.0237 0.0337
29.244 0.0468 0.0393
40.0583 0.2834 0.0421
51.4839 -0.3395 0.0365
60.7494 -0.5917 0.0309
70.3313 -0.7007 0.0225
81.7815 -0.1578 0.0393
87.1343 0.0925 0.0309
92.4315 -0.0336 0.0365
100.6666 -0.2634 0.0309
110.8604 -0.229 0.0253
120.6563 0.1115 0.0449
125.8623 0.3674 0.0421
131.4275 0.056 0.059
140.8111 -0.3957 0.0337
159.3881 0.4116 0.059
13.9 -1
Tornow_NucPhysA385_373(1982)_____________from_DataThief
27 X
28.2586 234.1125 -7.0
32.7299 111.049 -7.0
39.8784 34.9246 -7.0
43.372 33.3748 -7.0
46.8402 37.71 -7.0
51.7404 48.8732 -7.0
56.3777 52.7606 -7.0
61.0519 44.6406 -7.0
65.1496 36.6355 -7.0
69.8607 24.2942 -7.0
74.5765 15.6271 -7.0
80.4175 12.8267 -7.0
85.8988 16.6245 -7.0
90.2271 20.2715 -7.0
95.441 22.5618 -7.0
98.9276 22.5685 -7.0
103.8854 19.9882 -7.0
108.5735 15.4352 -7.0
114.1424 11.2158 -7.0
117.9727 7.9041 -7.0
123.228 6.688 -7.0
128.4556 6.7936 -7.0
133.6856 6.7966 -7.0
138.9109 7.0099 -7.0
144.7059 7.8023 -7.0
149.922 8.5526 -7.0
153.6946 8.8199 -7.0
16 A
21.2635 -0.0453 0.0178
25.1728 -0.0277 0.02
28.6558 0.0435 0.0223
40.0844 0.0275 0.0601
51.8909 -0.3761 0.0735
60.6869 -0.5858 0.0445
69.9183 -0.7866 0.0668
