Energy[MeV]     Xsec%Diff       Error
28
6.0305  0.0888302   .00295
6.92437  0.120778   .00298
7.95074  0.105525   .00324
9.12924  0.0888043  .00355
10.4824  0.0671837  .00402
12.0362  0.0854324  .00466
13.8203  0.0833695  .00539
15.8688  0.0728047  .00616
18.2209  0.0570302  .00664
20.9217  0.0310974  .00671
24.0229  0.0313164  .00640
27.5837  0.0266998  .00614
31.6723  0.0341101  .00607
36.3669  0.0434678  .00597
41.7574  0.0600408  .00585
47.9469  0.0660587  .00598
55.0539  0.0767018  .00619
63.2143  0.0746225  .00652
72.5843  0.0823666  .00702
83.3431  0.0825236  .00776
95.6967  0.0820731  .00876
109.881  0.076017   .01015
126.169  0.101516   .01132
144.87  0.111617    .01284
166.343  0.10863    .0141
191  0.112656       .0147
219.311  0.115591   .0155
251.818  0.114598   .0162
