Energy[MeV]     Xsec%Diff       Error
28
6.0305 0.0088302 0.00295
6.92437 0.040778 0.00298
7.95074 0.025525 0.00324
9.12924 0.0088043 0.00355
10.4824 -0.0128163 0.00402
12.0362 0.0054324 0.00466
13.8203 0.0033695 0.00539
15.8688 -0.0071953 0.00616
18.2209 -0.0229698 0.00664
20.9217 -0.0489026 0.00671
24.0229 -0.0486836 0.0064
27.5837 -0.0533002 0.00614
31.6723 -0.0458899 0.00607
36.3669 -0.0365322 0.00597
41.7574 -0.0199592 0.00585
47.9469 -0.0139413 0.00598
55.0539 -0.0032982 0.00619
63.2143 -0.0053775 0.00652
72.5843 0.0023666 0.00702
83.3431 0.0025236 0.00776
95.6967 0.0020731 0.00876
109.881 -0.003983 0.01015
126.169 0.021516 0.01132
144.87 0.031617 0.01284
166.343 0.02863 0.0141
191 0.032656 0.0147
219.311 0.035591 0.0155
251.818 0.034598 0.0162
