9.9 16
20.4125 -0.0406 0.05
24.1818 -0.0115 0.05
28.6777 0.0355 0.05
38.6674 0.0197 0.05
49.0398 -0.3526 0.0605
60.7107 -0.7586 0.0628
70.6913 -0.8372 0.0538
80.7323 -0.4988 0.0762
91.4846 -0.2478 0.0987
101.882 -0.4452 0.05
111.173 -0.2861 0.0628
120.736 -0.2481 0.05
129.965 -0.5218 0.05
139.622 -0.8313 0.05
151.124 -0.4077 0.0583
156.238 -0.0916 0.0807
177
3 0.00310919 0.00373554
4 0.00416379 0.00495094
5 0.00523425 0.00614031
6 0.00632484 0.00729652
7 0.00744002 0.00841197
8 0.00858452 0.00947853
9 0.00976336 0.0104874
10 0.0109819 0.0114292
11 0.0122458 0.0122932
12 0.0135613 0.0130682
13 0.014935 0.0137413
14 0.016374 0.0142985
15 0.017886 0.0147242
16 0.0194792 0.0150008
17 0.0211624 0.0151088
18 0.0229453 0.0150262
19 0.0248379 0.0147284
20 0.026851 0.0141877
21 0.0289959 0.0133727
22 0.0312846 0.0122481
23 0.0337295 0.0107741
24 0.0363431 0.00890532
25 0.0391381 0.00659053
26 0.0421269 0.00377157
27 0.0453212 0.000382412
28 0.0487311 -0.00365198
29 0.0523646 -0.00841684
30 0.0562264 -0.014009
31 0.0603163 -0.0205383
32 0.0646273 -0.0281293
33 0.069143 -0.0369228
34 0.0738344 -0.0470773
35 0.0786555 -0.0587706
36 0.0835381 -0.0722003
37 0.0883851 -0.0875842
38 0.0930619 -0.105159
39 0.0973868 -0.125175
40 0.101119 -0.147894
41 0.103945 -0.173573
42 0.105465 -0.20245
43 0.105181 -0.234718
44 0.102482 -0.270491
45 0.0966489 -0.309757
46 0.0868575 -0.352325
47 0.0722122 -0.397759
48 0.0518011 -0.445326
49 0.0247828 -0.493947
50 -0.0094972 -0.542191
51 -0.0513731 -0.588328
52 -0.100733 -0.63044
53 -0.156932 -0.666615
54 -0.218782 -0.695167
55 -0.284634 -0.714863
56 -0.352542 -0.725084
57 -0.420483 -0.725886
58 -0.486569 -0.717947
59 -0.549219 -0.70243
60 -0.607242 -0.680787
61 -0.659849 -0.654579
62 -0.7066 -0.625323
63 -0.747312 -0.59439
64 -0.781956 -0.562964
65 -0.810558 -0.532031
66 -0.833099 -0.502408
67 -0.849441 -0.474784
68 -0.859257 -0.449777
69 -0.861962 -0.427989
70 -0.856661 -0.41007
71 -0.842098 -0.396777
72 -0.816641 -0.389026
73 -0.778312 -0.387933
74 -0.72493 -0.394805
75 -0.654432 -0.411062
76 -0.56546 -0.438022
77 -0.45824 -0.476515
78 -0.335619 -0.526338
79 -0.203854 -0.58569
80 -0.0724907 -0.650918
81 0.0471854 -0.716891
82 0.144875 -0.778105
83 0.213975 -0.830064
84 0.252885 -0.870283
85 0.26445 -0.898448
86 0.254199 -0.915892
87 0.228463 -0.924796
88 0.193055 -0.927507
89 0.152646 -0.926127
90 0.110661 -0.922338
91 0.0694341 -0.917387
92 0.0304542 -0.912146
93 -0.00539747 -0.907188
94 -0.0376541 -0.902866
95 -0.0661196 -0.899376
96 -0.0907685 -0.896802
97 -0.111679 -0.895154
98 -0.128989 -0.894389
99 -0.142869 -0.894432
100 -0.153507 -0.895183
101 -0.161099 -0.896528
102 -0.165845 -0.898342
103 -0.167947 -0.900493
104 -0.167611 -0.902846
105 -0.165048 -0.905259
106 -0.160481 -0.907594
107 -0.15414 -0.909706
108 -0.146274 -0.911453
109 -0.137148 -0.912695
