9.9 21
25.7441 789.498 78.9498
28.6959 547.533 54.7533
33.4237 293.013 29.3013
37.859 159.216 15.9216
43.4816 70.9567 7.09567
49.106 31.1442 3.11442
54.9576 22.6102 2.26102
60.509 17.7151 1.77151
65.4407 18.8293 1.88293
70.69 16.1662 1.61662
75.0618 14.5295 1.45295
80.9037 11.3839 1.13839
86.1549 9.626 0.9626
91.3542 12.2858 1.22858
101.76 18.8293 1.88293
111.316 24.4015 2.44015
120.602 26.7394 2.67394
128.182 21.9311 2.19311
135.742 20.9504 2.09504
145.075 15.9216 1.59216
156.4 16.6669 1.66669
11 28
20.3706 945.863 94.5863
24.4808 566.428 56.6428
30.2428 328.706 32.8706
34.8992 176.573 17.6573
40.376 82.4791 8.24791
45.3058 42.2891 4.22891
49.7089 37.3132 3.73132
54.6652 34.4854 3.44854
60.174 32.8712 3.28712
65.396 24.4502 2.44502
70.6028 12.9302 1.29302
75.5354 7.0538 0.70538
80.2106 5.7591 0.57591
85.4563 7.2574 0.72574
91.2587 10.3517 1.03517
96.2352 14.9992 1.49992
100.929 18.613 1.8613
106.716 18.5852 1.85852
111.391 15.174 1.5174
116.35 15.1546 1.51546
121.026 12.3731 1.23731
125.987 12.9456 1.94184
131.77 11.962 1.7943
136.731 12.1334 1.82001
141.691 12.1178 1.81767
146.089 9.7421 1.46132
151.585 6.9165 1.03748
156.273 7.4651 1.11976
11.9 26
28.1722 428.993 42.8993
33.8011 215.992 21.5992
38.2797 100.765 10.0765
41.5504 62.8078 6.28078
44.2183 44.9074 4.49074
50.3248 43.5585 4.35585
54.9617 47.0095 4.70095
59.3272 44.9074 4.49074
64.8791 36.832 3.6832
69.8811 24.7765 2.47765
75.1785 16.1662 1.61662
81.3042 13.8798 1.38798
87.0841 16.923 1.6923
92.2732 21.9311 2.19311
96.3194 25.1572 2.51572
101.83 26.7394 2.67394
106.189 26.7394 2.67394
111.145 24.0323 2.40323
116.111 20.3211 2.03211
121.072 17.7151 1.77151
125.44 16.6669 1.66669
131.549 15.9216 1.59216
135.631 14.5295 1.45295
140.299 12.8609 1.28609
144.96 11.9168 1.19168
151.34 12.8609 1.28609
13.9 27
27.2952 252.078 25.2078
32.9107 134.387 13.4387
37.5955 46.6819 4.66819
40.9433 40.6396 4.06396
45.3633 40.5938 4.05938
49.3393 57.6654 5.76654
55.135 64.0924 6.40924
59.5474 52.4684 5.24684
64.2629 41.0216 4.10216
68.6718 30.6351 3.06351
74.1419 19.6259 1.96259
80.2308 16.0596 1.60596
86.7926 19.8644 1.98644
91.5238 23.4788 2.34788
95.7971 27.3325 2.73325
99.9128 27.725 2.7725
104.937 23.7595 2.37595
108.738 18.5804 1.85804
113.604 13.8742 1.38742
120.294 9.0226 0.90226
125.168 8.3475 0.83475
129.586 7.9638 0.79638
134.008 8.3287 0.83287
139.343 8.5759 0.85759
144.528 9.1053 0.91053
149.411 10.7617 1.07617
153.686 12.9175 1.29175
16.9 26
17.5135 689.47 68.947
22.3657 356.556 35.6556
26.4467 144.365 14.4365
33.3876 22.6113 2.26113
41.3373 42.9187 4.29187
45.9311 75.527 7.5527
49.8973 82.7082 8.27082
55.6912 87.8006 8.78006
59.7948 64.5787 6.45787
69.2107 26.5143 2.65143
75.2933 18.3342 1.83342
81.6963 19.1645 1.91645
85.8149 20.9858 2.09858
90.393 24.4284 2.44284
95.1132 21.587 2.1587
99.831 17.9431 1.79431
109.11 11.1376 1.11376
114.281 8.3159 0.83159
119.754 5.6639 0.56639
130.256 3.9121 0.39121
135.138 4.4162 0.44162
140.021 5.1402 0.51402
144.746 5.2132 0.52132
149.015 5.4523 0.54523
153.73 4.198 0.4198
159.204 2.9936 0.29936
19 33
14.87 1037.66 103.766
17.4984 779.636 77.9637
20.3438 542.882 54.2882
25.3701 230.534 23.0534
30.3695 47.5817 4.75817
32.7349 11.2291 1.12291
35.593 11.0047 1.10047
38.0438 25.8331 2.58331
40.4847 46.4881 4.64881
45.5638 81.993 8.1993
50.6302 102.753 10.2753
55.6811 84.8035 8.48035
60.9428 54.6767 5.46767
65.9859 36.6203 3.66203
71.0269 23.1689 2.31689
76.2935 17.0613 1.70613
80.9145 18.3716 1.83716
85.9781 21.3395 2.13395
91.2566 21.7001 2.17001
95.8698 18.9626 1.89626
101.138 14.5043 1.45043
105.964 10.4818 1.04818
111.012 8.0182 0.80182
116.28 6.133 0.6133
121.114 5.4615 0.54615
126.371 3.1422 0.31422
130.776 3.7921 0.37921
136.05 3.3763 0.33763
140.679 4.4799 0.44799
145.94 2.8341 0.28341
150.559 2.8828 0.28828
155.411 4.2057 0.42057
160.463 3.6053 0.36053
20 18
19.9932 502.224 50.2224
25.6659 167.27 16.7271
30.5343 42.793 4.2793
35.6567 31.4245 3.14245
40.4958 59.4163 5.94163
45.6073 91.8398 9.18398
51.2654 82.5141 8.25141
55.8455 77.6437 7.76437
60.6998 51.9478 5.19478
65.553 37.5576 3.75576
70.9507 18.4306 1.84306
76.0676 19.6358 1.96358
85.7631 21.6044 2.16044
96.0149 7.2041 0.72041
105.709 8.6991 1.30486
115.953 4.9911 0.748665
130.234 3.4529 0.517935
145.055 2.3523 0.352845
21.7 39
12.9507 1395.32 139.532
16.0146 935.308 93.5308
19.5163 592.134 59.2134
22.3526 322.139 32.2139
25.3982 131.809 13.1809
28.4297 36.8926 3.68926
32.1209 10.3231 1.03231
34.5773 28.2082 2.82082
37.6857 62.5343 6.25343
40.7799 94.8315 9.48315
43.8672 118.942 11.8942
46.9473 123.384 12.3384
49.8012 107.899 10.7899
52.8786 103.744 10.3744
55.9453 75.0287 7.50287
59.0121 54.2615 5.42615
61.6412 41.5501 4.15501
65.1478 30.0439 3.00439
67.7789 24.3541 2.43541
71.2912 20.4984 2.04984
74.15 20.4737 2.04737
77.4508 21.6435 2.16435
80.5324 23.3209 2.33209
83.3912 23.2928 2.32928
86.2493 22.8272 2.28272
89.5452 21.1284 2.11284
92.3977 17.7883 1.77883
96.564 12.8587 1.28587
101.604 7.8323 0.78323
106.428 5.4493 0.54493
111.264 5.1371 0.51371
116.103 5.2249 0.52249
120.94 5.0199 0.50199
126.206 3.6966 0.36966
131.256 2.9935 0.29935
135.868 2.5184 0.25184
144.217 2.0365 0.20365
151.039 2.3193 0.23193
159.184 2.8482 0.28482
25.5 39
18.0374 811.336 81.1336
21.3142 449.768 44.9768
24.8039 206.197 20.6197
27.4076 79.7129 7.97129
30.69 51.4375 5.14375
33.7702 53.3589 5.33589
36.6431 77.9096 7.79096
39.7353 111.606 11.1607
42.5984 124.922 12.4922
45.6757 120.111 12.0111
48.973 115.475 11.5475
52.0418 88.4073 8.84073
55.1121 70.3038 7.03038
58.1768 48.0294 4.80294
61.245 36.0796 3.60796
64.0883 23.7322 2.37322
66.9408 19.9805 1.99805
70.4558 18.1441 1.81441
73.314 17.7814 1.77814
76.3942 18.4456 1.84456
79.253 18.4233 1.84233
82.1118 18.4011 1.84011
85.4084 17.3582 1.73582
88.4773 13.2894 1.32894
91.5525 12.0702 1.20702
96.3722 7.3527 0.73527
101.193 4.5648 0.45648
106.46 3.4259 0.34259
111.294 3.1093 0.31093
116.347 2.6655 0.26655
121.19 3.0381 0.30381
126.244 2.7571 0.27571
131.071 2.0307 0.20307
135.884 1.0427 0.10427
140.71 0.7535 0.07535
145.775 0.9091 0.09091
150.838 1.0361 0.10361
155.686 1.3489 0.13489
159.656 1.8246 0.18246
26 19
15.4116 1214.74 121.474
20.4833 549.761 54.9761
25.5278 133.534 13.3534
30.5804 39.0925 3.90925
35.4439 70.6519 7.06519
40.8422 119.993 11.9993
45.9521 129.786 12.9786
50.7754 93.6718 9.36718
56.1308 59.6987 5.96987
61.2127 34.1199 3.41199
65.7578 19.8051 1.98051
71.1343 20.4453 2.04453
75.9672 18.3471 1.83471
81.3356 15.7146 1.57146
86.1698 14.5476 1.45476
91.0013 12.6547 1.26547
105.683 1.2878 0.19317
120.48 1.8453 0.276795
150.871 2 0.4
30 21
14.9888 1919.28 191.928
20.4327 575.691 57.5691
25.6757 182.541 18.2541
30.7347 85.3168 8.53168
36.2636 132.423 13.2423
41.377 177.354 17.7354
46.0597 152.521 15.2521
51.3379 95.7816 9.57816
56.2006 51.9019 5.19019
61.0596 26.1216 2.61216
66.1539 24.1799 2.41799
