2.35 -1
Hicks Thesis or dissertation, Name.Hicks (1988)
13 X
 28.        422.1      -6.8
 33.1       378.4      -6.8
 43.3       273.9      -7.6
 53.4       223.6      -8.2
 63.5       174.1      -6.2
 73.6       102.4      -6.5
 81.2       58.        -2.9
 91.2       39.3       -2.7
 101.2      31.1       -3.2
 121.       112.1      -2.6
 130.9      182.2      -2.2
 140.8      261.9      -2.1
 150.6      350.       -2.1
0 A
2.43 -1
Hicks Thesis or dissertation, Name.Hicks (1988)
13 X
33.1       879.5      -11.8
43.3       543.4      -14.6
53.4       290.9      -17.
63.5       130.9      -16.2
73.6       121.6      -6.1
81.2       162.3      -2.1
91.2       203.9      -2.3
101.2      241.9      -1.7
111.1      224.       -2.2
121.       219.1      -1.8
130.9      210.1      -2.3
140.8      254.4      -1.8
150.6      335.5      -1.7
0 A
2.71 -1
Hicks Thesis or dissertation, Name.Hicks (1988)
13 X
28.        687.9      -6.1
43.3       504.8      -6.2
53.4       372.9      -7.1
63.5       298.9      -4.8
73.6       245.2      -4.3
81.2       173.6      -2.5
91.2       127.8      -2.6
101.2      74.8       -3.5
111.1      47.3       -2.8
121.       48.1       -4.8
130.9      89.7       -2.9
140.8      187.7      -2.7
150.6      311.6      -2.1
0 A
3.15 -1 
Hicks Thesis or dissertation, Name.Hicks (1988)
15 X
25.5       1644.1     -6.5
28.        1489.5     -7.1
40.7       820.9      -9.6
43.3       686.6      -10.1
54.4       270.3      -12.7
61.        179.2      -11.9
73.6       171.8      -3.7
81.2       248.5      -2.
91.2       295.6      -2.
101.2      277.7      -2.
111.1      215.2      -2.2
121.       140.8      -2.8
130.9      110.       -3.4
140.8      161.9      -2.9
150.6      291.4      -2.
0 A
3.55 -1
Hicks Thesis or dissertation, Name.Hicks (1988)
14 X
28.        1541.6     -5.9
43.3       893.1      -9.3
53.4       466.3      -10.8
63.5       191.8      -13.8
73.6       81.6       -12.
78.6       67.2       -8.5
81.2       69.1       -2.8
91.2       100.1      -2.2
101.2      140.6      -2.
111.1      139.2      -2.1
121.       134.       -2.2
130.9      123.9      -2.2
140.8      128.9      -2.3
150.6      151.7      -2.
0 A
4.7 -1
Hicks Thesis or dissertation, Name.Hicks (1988)
17 X
28.        1581.1     -6.8
30.        1280.6     -8.4
40.8       679.9      -10.9
50.9       266.2      -15.2
61.        88.6       -17.6
66.        41.        -17.2
71.1       40.5       -7.3
76.2       55.4       -9.1
81.2       82.        -2.6
91.2       126.4      -2.3
101.2      144.8      -2.2
111.1      125.1      -2.2
121.       87.2       -2.4
130.9      54.5       -2.7
135.8      51.5       -2.9
140.8      52.9       -2.9
150.6      78.3       -2.4
0 A
6 -1
Hicks Thesis or dissertation, Name.Hicks (1988)
15 X
25.5       1070.1     -2.5
30.6       800.6      -2.5
40.8       381.6      -3.2
50.9       195.9      -3.2
61.        60.3       -2.6
71.1       19.1       -4.4
76.2       14.8       -5.2
81.2       18.2       -4.5
91.2       36.        -2.7
101.2      61.6       -2.3
111.1      72.9       -2.1
121.       73.8       -2.7
130.9      67.8       -2.1
140.8      65.5       -2.4
150.6      62.5       -2.4
0 A
7.97 1
Hicks PRC 41 2560 (1990) _____________ from DataThief
15 X
26.2347 1277.5911 -5.0
31.14 904.539 -5.0
41.5088 367.1104 -5.0
50.9766 114.9705 -5.0
60.9942 26.9975 -5.0
70.4886 10.7482 -5.0
76.5677 8.377 -5.0
81.5005 7.6122 -5.0
91.4798 17.5563 -5.0
100.8732 38.964 -5.0
110.202 48.1497 -5.0
120.9401 39.7618 -5.0
130.5161 33.1497 -5.0
140.1261 37.5748 -5.0
150.0693 62.5282 -5.0

0 A
11.9 1
US 12
23 X
35.68  125.764  -4.
40.77  66.1811  -4.4
45.84  42.4443  -5.5
50.91  40.2898  -3.8
55.98  38.3059  -4.7
61.03  44.2060  -4.4
66.08  42.5305  -4.2
71.12  39.1226  -3.6
76.15  28.8318  -4.3
81.18  26.7680  -4.5
86.19  28.4199  -4.0
91.19  28.4828  -3.8
96.19  31.5774  -3.6
101.18  35.3317  -3.2
106.15  36.2230  -3.4
111.12  35.7541  -3.5
116.08  34.5823  -4.0
121.03  26.5402  -3.2
125.98  21.7950  -5.3
130.91  15.8121  -4.7
135.84  13.5019  -7.0
140.77  16.3616  -3.3
142.74  19.3868  -3.7
0 A
16.8 1
US 17
22 X
35.68  35.2015  -13.9
40.77  74.5000  -4.6
45.84  91.8948  -4.0
50.91  97.8984  -3.5
61.03  57.6721  -4.1
66.08  38.1853  -5.8
71.12  19.9493  -5.5
76.15  28.4514  -4.2
81.18  29.6632  -4.3
86.19  29.4629  -4.1
91.19  28.4113  -4.0
96.19  24.3473  -4.3
101.18  18.5401  -3.3
106.15  17.9440  -4.6
111.12  15.4132  -3.7
116.08  13.9036  -4.5
121.03  10.4997  -3.4
125.98  11.0530  -5.4
130.91  9.07114  -4.0
135.84  8.78284  -5.2
140.77  10.7138  -5.7
143.72  11.7972  -4.8
0 A
-1 -1
