15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
34.28  147.3   -10.
39.8   85.98   -10.
44.75  75.29   -10.
49.61  86.13   -10.
54.56  89.17   -10.
59.71  76.40   -10.
64.94  61.54   -10.
69.09  42.14   -10.
77.04  20.98   -10.
79.99  11.27   -10.
85.04  7.369   -10.
90.27  8.62    -10.
95.71  13.96   -10.
100.65 18.86   -10.
105.51 24.47   -10.
110.65 26.14   -10.
115.70 25.14   -10.
120.27 21.96   -10.
125.51 17.51   -10.
130.65 11.73   -10.
135.70 8.12    -10.
140.46 6.94    -10.
145.98 7.524   -10.
151.70 9.78    -10.
156.36 11.98   -10.
161.22 14.64   -10.
165.70 16.35   -10.
28 A
30.6  -.062 .1
34.28 .136  .1
39.8  .292  .1
44.75 .141  .1
49.61 -.161 .1
54.56  -.384 .1
59.71  -.570 .1
64.94  -.694 .1
69.09  -.813 .1
77.04  -.801 .1
79.99  -.724 .1
85.04  -.218 .1
90.27  0     .1
95.71  -.136 .1
100.65 -.210 .1
105.51 -.252 .1
110.65 -.215 .1
115.70 -.215 .1
120.27 -.260 .1
125.51 -.352 .1
130.65 -.550 .1
135.70 -.833 .1
140.46 -.967 .1
145.98 -.446 .1
151.70 .143  .1
156.36 .558  .1 
161.22 .818  .1 
165.70 .843  .1
16.25 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
34.28  136.71   -10.
39.8   93.72    -10.
44.75  84.96    -10.
49.61  102.4    -10.
54.56  103.27   -10.
59.71  92.00    -10.
64.94  67.27    -10.
69.09  44.46    -10.
77.04  21.74    -10.
79.99  11.83    -10.
85.04  7.127    -10.
90.27  7.935    -10.
95.71  11.93    -10.
100.65 17.51    -10.
105.51 21.36    -10.
110.65 23.80    -10.
115.70 23.11    -10.
120.27 21.14    -10.
125.51 17.23    -10.
130.65 12.36    -10.
135.70 9.022    -10.
140.46 6.811    -10.
145.98 6.38     -10.
151.70 7.348    -10.
156.36 10.44    -10.
161.22 12.96    -10.
165.70 15.07    -10.
27 A
34.28  .136 .1
39.8   .292 .1
44.75  .099 .1 
49.61  -.178 .1
54.56  -.396 .1
59.71  -.585 .1
64.94  -.719 .1
69.09  -.838 .1
77.04  -.917 .1
79.99  -.662 .1
85.04  -.153 .1
90.27  -.062 .1
95.71  -.218 .1
100.65 -.372 .1
105.51 -.376 .1
110.65 -.372 .1
115.70 -.384 .1
120.27 -.409 .1
125.51 -.471 .1
130.65 -.694 .1
135.70 -.954 .1
140.46 -.954 .1
145.98 -.520 .1
151.70 .148  .1
156.36 .632  .1
161.22 .88   .1
165.70 .893  .1
17.57 0
Dicello et al PRC 4, 1130 (1971) plot_____________________________________
