17.57 35
12.39 9203 920.3
15.59 3648 364.8
18.51 1787 178.7
21.86 1025 102.5
25.06 571.1 57.11
27.69 319.5 31.95
30.89 167.3 16.73
36.14 58.07 5.807
41.24 42.71 4.271
46.2 62.05 6.205
51.15 80.92 8.092
57.13 82.96 8.296
61.65 72.28 7.228
65.3 57.1 5.71
67 47.6 4.76
68.79 35 3.5
71.42 26.18 2.618
76.51 12.3 1.23
81.61 7.47 0.747
86.72 8.12 0.812
91.82 10.86 1.086
96.48 13.93 1.393
101.73 14.98 1.498
106.97 14.52 1.452
111.49 13.04 1.304
116.89 10.4 1.04
122.13 8.68 0.868
126.8 6.71 0.671
131.17 5.02 0.502
135.8 3.69 0.369
141.37 2.88 0.288
150.85 3.26 0.326
155.95 4.36 0.436
160.32 6.6 0.66
164.7 9.2 0.92
19.57 36
11.781 9281.4 928.14
15.41 3014.8 301.48
18.54 1510.05 151.005
21.6 872 87.2
24.36 554.04 55.404
27.63 240.13 24.013
30.55 108.04 10.804
35.63 25.32 2.532
40.87 38.18 3.818
45.96 68.55 6.855
51.27 88.12 8.812
56.65 81.27 8.127
61.74 62.06 6.206
64.72 48.82 4.882
66.9 39.27 3.927
69.23 29.34 2.934
72 18.93 1.893
77.23 9.266 0.9266
82.18 7.208 0.7208
86.9 9.72 0.972
92 12.95 1.295
97.09 14.49 1.449
101.96 14.59 1.459
107.05 11.93 1.193
112 8.277 0.8277
116.95 6.24 0.624
121.6 3.73 0.373
126.32 2.86 0.286
131.41 2.26 0.226
136.14 2.23 0.223
141 2.529 0.2529
145.81 2.743 0.2743
150.54 2.887 0.2887
155.54 3.42 0.342
160.58 3.893 0.3893
165.67 4.439 0.4439
21 59
15.4 2786 278.6
18.3 1507 150.7
19.4 1350 135
20.5 1003 100.3
22.6 724.2 72.42
25.1 419.6 41.96
26 320.4 32.04
28.5 178.7 17.87
29.6 117.9 11.79
30.7 89.51 8.951
31.1 80.73 8.073
32.8 42.2 4.22
35.4 17.36 1.736
38.4 18.54 1.854
40.9 36.58 3.658
43.1 61.6 6.16
46.2 83.46 8.346
48.6 94.86 9.486
51.1 99.54 9.954
53.2 103.3 10.33
53.7 99.1 9.91
56.2 91.88 9.188
58.7 79.29 7.929
61.3 68.1 6.81
65.8 41.4 4.14
68.4 29.85 2.985
70.9 20.18 2.018
73.2 13.93 1.393
73.2 13.93 1.393
78.4 7.847 0.7847
81.5 7.79 0.779
84 9.531 0.9531
86.5 11.35 1.135
89 12.95 1.295
91.5 14.51 1.451
94 15.19 1.519
96.5 15.99 1.599
99 15.47 1.547
101.5 15.03 1.503
103.9 12.95 1.295
106.4 11.15 1.115
108.9 9.467 0.9467
111.4 7.469 0.7469
113.9 5.791 0.5791
116.3 4.181 0.4181
118.8 3.119 0.3119
121.3 2.208 0.2208
123.7 1.788 0.1788
126.2 1.587 0.1587
128.7 1.635 0.1635
131.1 1.779 0.1779
136 2.36 0.236
140.9 2.986 0.2986
145.8 3.014 0.3014
150.7 2.751 0.2751
155.6 2.882 0.2882
160.5 3.199 0.3199
165.4 3.515 0.3515
170.3 4.855 0.4855
25 47
10.24 10700 1070
12.8 4860 486
15.36 2794 279.4
17.91 1766 176.6
20.47 1121 112.1
23.03 667.5 66.75
25.58 355.2 35.52
28.14 174.5 17.45
30.69 68.51 6.851
33.24 24.93 2.493
35.79 19.75 1.975
38.34 39.88 3.988
40.89 66.24 6.624
43.43 91.41 9.141
45.98 107.6 10.76
48.52 113.5 11.35
51.06 112.7 11.27
53.59 100.3 10.03
56.13 86.19 8.619
58.66 68.23 6.823
61.19 51.13 5.113
63.72 38.46 3.846
66.25 24.74 2.474
68.77 18.42 1.842
71.3 14.68 1.468
72.82 10.65 1.065
76.33 11.09 1.109
78.85 11.71 1.171
81.36 12.42 1.242
86.37 12.91 1.291
91.38 13.09 1.309
96.37 10.31 1.031
101.36 7.854 0.7854
106.33 5.779 0.5779
111.3 4.108 0.4108
116.25 2.8 0.28
121.19 2.095 0.2095
126.13 1.417 0.1417
131.06 1.281 0.1281
135.97 1.299 0.1299
140.89 1.656 0.1656
145.79 2.03 0.203
150.69 2.232 0.2232
155.58 2.326 0.2326
160.47 2.308 0.2308
165.36 2.237 0.2237
170.24 1.781 0.1781
26.3 60
15.7 2373 237.3
18.2 1485 148.5
20.7 914.2 91.42
