9 1
(A.Marinov,L.L.Lee,J.P.Schiffer) PR 145 (1966) 852
19 X
30.        1359.   -5.
37.5       735.    -5.
45.        375.    -5.
52.5       224.    -5.
60.        145.    -5.
67.5       77.     -5.
75.        37.     -5.
82.5       14.7    -5.
90.        6.7     -5.
97.5       5.8     -5.
105.       8.6     -5.
112.5      15.1    -5.
120.       17.     -5.
127.5      16.9    -5.
135.       15.2    -5.
142.5      16.2    -5.
150.       17.1    -5.
157.5      16.7    -5.
165.       18.7    -5.
0 A
12. 1
(A.Marinov,L.L.Lee,J.P.Schiffer) PR 145 (1966) 852
18 X
30.        867.    -5.
37.5       362.    -5.
45.        187.    -5.
52.5       105.    -5.
60.        64.     -5.
67.5       34.7    -5.
75.        13.4    -5.
90.        3.1     -5.
97.5       7.3     -5.
105.       11.8    -5.
112.5      13.5    -5.
120.       12.3    -5.
127.5      9.2     -5.
135.       6.4     -5.
142.5      4.4     -5.
150.       3.2     -5.
157.5      3.      -5.
165.       3.2     -5.
0 A
21. 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.23 15230 -4.3
12.78 6102  -4.1
15.34 3149  -3.6
17.89 1871  -3.6
20.45 1162  -3.6
23.00  704.2 -3.6
25.55  419.3 -3.7
28.10  223.3 -3.8
30.65  109.4 -4.0
33.20   46.68 -4.5
35.75   24.29 -3.7
38.30   34.05 -3.8
40.84   49.57 -3.8
43.38   64.89 -4.2
45.93   77.61 -3.9
48.47   84.98 -4.0
51.00   86.48  -3.7
53.54   84.34  -3.6
56.07   74.00  -3.6
58.60   64.83  -3.7
61.13   49.36  -3.6
63.66   37.61  -3.8
66.19   23.29  -3.8
68.71   15.61  -3.8
71.23   10.75  -3.9
73.75   7.735  -3.8
76.26   5.626  -5.5
78.78   6.386  -4.7
81.29   7.854  -4.2
86.30   10.43  -4.0
91.31   12.43  -3.9
96.30   12.67  -4.0
101.29  10.26  -3.9
106.26  7.537  -4.1
111.23  4.033  -3.8
116.19  2.530  -3.9
121.13  1.433  -3.8
126.07  1.132  -3.8
131.00  1.317  -3.9
135.93  1.631  -3.8
140.84  2.213  -3.8
145.75  2.538  -4.0
150.65  2.558  -3.8
155.55  2.406  -3.8
160.45  2.372  -3.8
165.34  2.400  -3.8
170.23  2.545  -4.0
0 A
25 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
46 X
10.23  10940. -4.5
12.78   4998. -3.8
15.34   2876. -3.7
17.90   1783. -3.7
20.45   1109. -3.6
23.00    646. -3.7
25.56    340.3 -3.7
28.11    152.4 -3.9
30.66     54.63  -4.1
33.21     18.03  -4.7
35.75     22.44  -4.1
38.30     44.70  -3.8
40.85     72.67  -3.6
43.39     97.86  -3.8
45.93     104.0  -3.6
48.47     105.9  -3.6
51.01     102.4  -3.6
53.54      86.21 -3.7
56.08      67.44  -3.7
58.61      51.85  -3.8
61.14      37.52  -3.7
63.67      25.32  -4.0
66.19      15.60  -3.9
71.24      8.566  -3.7
73.75      8.298  -4.1
76.27      9.341  -3.9
78.78     10.71   -4.0
81.29     11.93   -3.6
86.31     12.93   -3.7
91.31     11.02   -3.8
96.31      7.675  -4.3
101.29     5.021  -4.0
106.27     3.009  -4.6
111.23     2.051  -3.8
116.19     1.564  -3.9
121.14     1.264  -3.7
126.08     1.022  -3.7
131.01     0.998  -3.8
135.93     1.045  -4.0
140.84     1.235  -3.9
145.75     1.287  -4.1
150.66     1.323  -3.9
155.56     1.357  -4.0
160.45     1.360  -3.8
165.34     1.379  -4.0
170.23     1.460  -4.0
0 A
30.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.23  7182. -3.8
12.79  3848  -3.7
15.34  2448. -3.6
17.90  1552. -3.7
20.45   935.3 -3.6
23.01   522.3  -3.7
25.56   253.8  -3.7
28.11    97.65  -3.8
30.66  31.02  -3.7
33.21  20.05  -4.3
35.76  41.07  -4.5
38.30  69.04  -4.0
40.85  90.42  -3.6
43.39  103.2  -3.6
45.93  105.8  -3.6
48.47   95.53  -3.6
51.01   79.89  -3.7
53.55   61.16  -3.8
56.08   43.33  -3.7
58.61   27.10  -4.1
61.14   17.74  -3.9
63.67   11.32  -4.2
66.20    8.423  -3.9
68.72    7.695  -3.8
71.24    8.042  -3.9
73.76    9.585  -3.8
76.28   10.35   -3.7
78.79   10.47   -4.1
81.30   10.48   -3.8
86.32    8.498  -3.9
91.32    6.052  -4.3
96.32    2.976  -4.2
101.30   1.855  -3.9
106.28   1.372  -3.7
111.24   1.481  -3.6
116.20   1.517  -3.7
121.14   1.406  -3.7
126.08   1.017  -3.7
131.01   0.648  -3.9
135.93   0.372  -4.4
140.85   0.320  -4.5
145.76   0.470  -4.0
150.66   0.702  -3.7
155.56   0.853  -3.7
160.45   0.902  -3.7
165.34   0.842  -3.8
170.23   0.792  -4.0
0 A
35  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.23 6459. -3.8
12.79 3835. -3.8
15.34 2559. -3.6
17.90 1642. -3.6
20.45  977.8 -3.6
23.01  513.0 -3.7
25.56  229.1 -3.7
28.11   86.16 -3.7
30.66  37.24  -3.7
33.21  40.84  -4.0
35.76  66.51  -3.8
38.31  94.61  -3.7
40.85  110.3  -3.6
43.40  112.5  -3.6
45.94  99.51  -3.6
48.48  82.53  -3.7
51.02  63.12  -3.7
53.55  42.05  -3.8
56.09  26.54  -3.7
58.62  17.98  -4.1
61.15  10.89  -3.7
63.68   8.602 -4.0
66.20   7.971 -3.7
68.73   8.962 -4.0
71.25   9.367 -3.6
73.77   9.727 -3.8
76.28   9.478 -3.7
78.80   8.429 -3.9
81.31   7.173 -3.7
86.32   4.354 -4.0
91.33   2.470 -4.4
96.32   1.342 -3.7
101.31  1.244  -3.6
106.28  1.164  -3.7
111.25  1.099  -3.8
116.20  0.882  -4.1
121.15  0.659  -4.3
126.09  0.430  -5.1
131.02  0.258  -4.1
135.94  0.175  -3.9
140.85  0.195  -3.7
145.76  0.286  -3.8
150.66  0.393  -3.9
155.56  0.449  -4.0
160.45  0.433  -3.9
165.34  0.326  -4.7
170.23  0.211  -5.7
0 A
40.0  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.23 5645. -4.1
12.79 3788. -3.7
15.35 2576. -3.6
17.90  1626. -3.6
20.46  926.9 -3.6
23.01  466.8 -3.7
25.56 199.4 -3.7
28.12 77.02 -3.8
30.67 42.94 -3.6
33.22 58.97 -3.7
35.77 83.23 -3.6
38.31 104.5 -3.7
40.86 106.9 -3.6
43.40 97.47 -3.8
45.94 78.55 -3.7
48.48 59.07 -3.8
51.02 37.74  -3.7
53.56 24.27  -4.0
56.09 14.06  -3.9
58.63  9.743 -4.1
61.16  7.677 -3.6
63.68  7.866 -3.7
66.21  8.102 -3.7
68.73  8.422 -3.7
71.25  8.164 -3.6
73.77  7.010 -4.3
76.29  6.171 -3.9
78.80  5.103 -4.7
81.31  3.647 -3.9
86.33  1.996 -5.2
91.33  1.286 -3.9
96.33  1.109 -3.7
101.31 0.971 -3.7
106.29 0.790 -4.6
111.25 0.499 -4.1
116.21 0.318 -5.1
121.15 0.227 -4.0
126.09 0.173 -4.1
131.02 0.162 -3.7
135.94 0.173 -4.2
140.86 0.144 -4.0
145.76 0.136 -4.5
150.67 0.147 -4.3
155.56 0.157 -4.9
160.46 0.153 -4.1
165.34 0.117 -4.7
170.23 0.070 -4.4
0 A
45.0  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.23 4496. -6.2
12.79 3202. -5.4
15.35 2206. -4.6
17.90 1484. -4.7
20.46  769.4 -4.3
23.01  354.1 -4.3
25.57  116.6 -4.1
28.12   52.05 -4.2
30.67   41.46 -3.8
33.22   52.85  -4.2
35.77   73.19  -3.9
38.32   88.62  -4.2
40.86   88.67  -3.6
43.41   78.67  -3.7
45.95   51.55  -3.7
48.49   36.04  -3.8
51.03   22.20  -3.7
53.56   14.19  -4.4
56.10    8.725  -3.7
58.63    7.194  -4.1
61.16    7.131  -3.7
63.69    7.410  -3.8
66.22    7.113  -3.7
68.74    6.643  -4.0
71.26    5.596  -3.7
73.78    4.550  -3.9
76.30    3.279  -4.0
78.81    2.363  -4.3
81.32    1.653  -4.2
86.34    0.872  -5.2
91.34    0.897  -4.2
96.34    0.864  -4.5
101.32   0.623  -3.8
106.29   0.431  -4.4
111.26   0.233  -3.9
116.21   0.143  -4.2
121.16   0.120  -3.8
126.10   0.128  -4.1
131.03   0.123  -3.8
135.95   0.101  -4.4
140.86   0.067  -4.1
145.77   0.045  -5.1
150.67   0.036  -4.6
155.57   0.042  -5.4
160.46   0.045  -4.7
165.35   0.041  -6.3
170.23   0.025  -6.9
0 A
48.4  1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.23 3446. -5.5
12.79 2614. -5.6
15.35 1874. -4.9
17.90 1223. -5.8
20.46  688.0 -4.1
23.02  304.0 -4.7
25.57 100.0 -4.2
28.12 44.47 -4.6
30.67 34.04 -4.0
33.22 46.44 -4.6
35.77 59.87 -4.3
38.32 75.67 -4.6
40.87 75.76 -3.8
43.41 69.59 -3.6
45.95 42.93 -3.6
48.49 29.99 -3.8
51.03 15.98 -3.7
53.57 8.663 -5.2
56.10 7.531 -3.8
58.63 6.638 -3.8
61.17 6.668 -3.7
63.69 6.521 -3.7
66.22 6.078 -3.8
68.74 5.209 -3.9
71.26 4.073 -3.7
73.78 3.103 -4.2
76.30 2.108 -4.1
78.81 1.474 -4.3
81.32 0.914 -4.6
86.34 0.808 -4.1
91.34 0.743 -4.3
96.34 0.546 -4.5
101.32 0.394 -3.9
106.30 0.213 -5.4
111.26 0.126 -4.7
116.22 0.090 -4.3
121.16 0.089 -3.8
126.10 0.089 -4.2
131.03 0.076 -4.1
135.95 0.054 -4.9
140.86 0.033 -4.9
145.77 0.016 -7.4
150.67 0.013 -6.7
155.57 0.015 -6.8
160.46 0.021 -5.6
165.35 0.020 -6.4
170.23 0.015 -5.3
0 A
65. 1
Noro Nuc Phys A366, 189 (1981) from DARPE
27 X
20.50 2.783E+02 4.331
21.53 1.859E+02 1.511
22.55 1.221E+02 1.226
23.57 7.373E+01 8.580E-01
24.60 4.957E+01 6.880E-01
25.62 3.377E+01 5.215E-01
26.64 2.619E+01 4.125E-01
27.67 2.773E+01 3.327E-01
28.68 2.806E+01 2.635E-01
29.71 3.317E+01 2.800E-01
30.73 3.733E+01 1.745E-01
33.32 4.545E+01 2.397E-01
35.84 4.211E+01 2.047E-01
38.39 3.371E+01 1.885E-01
40.94 2.190E+01 4.191E-02
43.49 1.287E+01 6.947E-02
46.04 7.120E+00 4.501E-02
48.58 4.266E+00 4.401E-02
51.13 3.327E+00 3.084E-02
53.66 3.261E+00 3.206E-02
56.20 3.014E+00 2.847E-02
58.74 2.680E+00 2.545E-02
61.27 2.065E+00 2.174E-02
63.80 1.449E+00 1.509E-02
