65 25
20.5 -0.1047 0.0125
21.95 -0.1421 0.0125
22.55 -0.143 0.0125
23.57 -0.1566 0.0125
24.6 -0.0291 0.0125
25.62 0.2213 0.0125
26.64 0.5249 0.0125
27.67 0.7365 0.0125
28.68 0.8206 0.0125
29.71 0.8155 0.0125
30.73 0.7549 0.0125
33.32 0.5897 0.0125
35.84 0.4892 0.0125
38.39 0.3876 0.0125
40.94 0.3305 0.0125
43.49 0.307 0.0125
46.04 0.4052 0.0125
48.58 0.6098 0.0125
51.13 0.985 0.0125
56.2 0.9797 0.0125
58.74 0.9294 0.0125
61.27 0.8662 0.0125
63.8 0.7564 0.0125
68.86 0.6748 0.0125
71.38 0.6795 0.0125
177
3 0.00560105 0.0094747
4 0.0222674 0.0179098
5 0.056653 0.0166524
6 0.0976228 -0.0128106
7 0.118137 -0.0660481
8 0.113597 -0.118531
9 0.0973831 -0.160152
10 0.0784576 -0.193213
11 0.0596969 -0.2216
12 0.0414312 -0.247967
13 0.0232313 -0.273929
14 0.00449068 -0.300539
15 -0.0154246 -0.328613
16 -0.0371539 -0.358924
17 -0.0613452 -0.392348
18 -0.0886385 -0.429993
19 -0.11958 -0.473351
20 -0.154362 -0.524486
21 -0.192123 -0.586211
22 -0.22918 -0.662047
23 -0.254786 -0.755031
24 -0.242527 -0.862559
25 -0.14174 -0.961967
26 0.0950927 -0.994915
27 0.410305 -0.911318
28 0.645194 -0.76122
29 0.738162 -0.634507
30 0.738855 -0.560547
31 0.701113 -0.528356
32 0.65251 -0.522416
33 0.603785 -0.532272
34 0.558293 -0.551954
35 0.516574 -0.578213
36 0.478209 -0.609302
37 0.442551 -0.644285
38 0.409002 -0.682637
39 0.377155 -0.723983
40 0.346908 -0.76788
41 0.318623 -0.813555
42 0.293389 -0.859523
43 0.273446 -0.903
44 0.262783 -0.939031
45 0.267769 -0.95947
46 0.297206 -0.952473
47 0.360337 -0.904403
48 0.461176 -0.806653
49 0.590777 -0.666282
50 0.725839 -0.51017
51 0.840069 -0.37256
52 0.918651 -0.27588
53 0.961541 -0.224036
54 0.976878 -0.209182
55 0.97404 -0.220441
56 0.960427 -0.248532
57 0.940969 -0.286869
58 0.918655 -0.331164
59 0.895189 -0.378698
60 0.871493 -0.427687
61 0.848049 -0.476802
62 0.825126 -0.524809
63 0.802933 -0.570258
64 0.781743 -0.611192
65 0.76201 -0.644841
66 0.744493 -0.667327
67 0.730383 -0.673478
68 0.721375 -0.657008
69 0.719587 -0.611456
70 0.727161 -0.532318
71 0.745444 -0.420235
72 0.773977 -0.283763
73 0.809954 -0.139119
74 0.848818 -0.00552081
75 0.88585 0.101511
76 0.917667 0.174458
77 0.942787 0.213648
78 0.961277 0.22427
79 0.974068 0.213183
80 0.982369 0.186868
81 0.987328 0.150579
82 0.98989 0.108236
83 0.990772 0.0626382
84 0.990485 0.0157702
85 0.989374 -0.0309136
86 0.987647 -0.0762413
87 0.985411 -0.119116
88 0.982686 -0.158331
89 0.97942 -0.192403
90 0.975502 -0.219416
91 0.97077 -0.236905
92 0.965035 -0.241838
93 0.958111 -0.230787
94 0.949877 -0.200426
95 0.94036 -0.148471
96 0.929827 -0.0749789
97 0.91884 0.016417
98 0.908212 0.118132
99 0.898847 0.219787
100 0.891502 0.31075
101 0.886612 0.382869
102 0.884232 0.432039
103 0.884124 0.45813
104 0.885893 0.463792
105 0.889117 0.453014
106 0.893418 0.43001
107 0.898495 0.39857
108 0.904126 0.361806
109 0.910154 0.322122
110 0.916475 0.281303
111 0.92302 0.240628
112 0.929751 0.200998
113 0.936647 0.163043
114 0.9437 0.127224
115 0.950902 0.0939317
116 0.958243 0.063581
117 0.965683 0.0367173
118 0.973138 0.0141239
119 0.980442 -0.0030722
120 0.987306 -0.0133164
121 0.99327 -0.0146044
122 0.997665 -0.00459148
123 0.999603 0.0190715
124 0.998046 0.0580742
125 0.991994 0.112449
126 0.980821 0.17948
127 0.964673 0.253114
128 0.944718 0.324621
129 0.923023 0.384734
130 0.90201 0.426411
131 0.883756 0.446722
132 0.869517 0.446943
133 0.85963 0.43123
134 0.853714 0.404869
135 0.850965 0.372911
136 0.850412 0.339429
137 0.851083 0.307261
138 0.852099 0.278035
139 0.852728 0.252309
140 0.852412 0.229761
141 0.850793 0.209387
142 0.847718 0.189719
143 0.843241 0.16905
144 0.837597 0.145654
145 0.831166 0.117974
146 0.82441 0.0847711
147 0.81782 0.0452007
148 0.811858 -0.00116568
149 0.806914 -0.0543562
150 0.80328 -0.114021
151 0.801143 -0.179425
152 0.800575 -0.249369
153 0.801539 -0.322013
154 0.803875 -0.394585
155 0.807276 -0.462994
156 0.811235 -0.521435
157 0.81498 -0.562206
158 0.817413 -0.576039
159 0.817093 -0.553274
160 0.812334 -0.486
161 0.801432 -0.370758
162 0.782991 -0.210866
163 0.756247 -0.0172499
164 0.721263 0.192896
165 0.678929 0.399358
166 0.630762 0.582963
167 0.578607 0.729085
168 0.524331 0.829575
169 0.469595 0.882851
170 0.415721 0.892537
171 0.363654 0.865453
172 0.313988 0.809647
173 0.267016 0.732921
174 0.222791 0.641959
175 0.181181 0.541983
176 0.141918 0.436753
177 0.10463 0.328765
178 0.068878 0.219524
179 0.0341736 0.109823
