9 19
30 1359 135.9
37.5 735 73.5
45 375 37.5
52.5 224 22.4
60 145 14.5
67.5 77 7.7
75 37 3.7
82.5 14.7 1.47
90 6.7 0.67
97.5 5.8 0.58
105 8.6 0.86
112.5 15.1 1.51
120 17 1.7
127.5 16.9 1.69
135 15.2 1.52
142.5 16.2 1.62
150 17.1 1.71
157.5 16.7 1.67
165 18.7 1.87
12 18
30 867 86.7
37.5 362 36.2
45 187 18.7
52.5 105 10.5
60 64 6.4
67.5 34.7 3.47
75 13.4 1.34
90 3.1 0.31
97.5 7.3 0.73
105 11.8 1.18
112.5 13.5 1.35
120 12.3 1.23
127.5 9.2 0.92
135 6.4 0.64
142.5 4.4 0.44
150 3.2 0.32
157.5 3 0.3
165 3.2 0.32
21 47
10.23 15230 1523
12.78 6102 610.2
15.34 3149 314.9
17.89 1871 187.1
20.45 1162 116.2
23 704.2 70.42
25.55 419.3 41.93
28.1 223.3 22.33
30.65 109.4 10.94
33.2 46.68 4.668
35.75 24.29 2.429
38.3 34.05 3.405
40.84 49.57 4.957
43.38 64.89 6.489
45.93 77.61 7.761
48.47 84.98 8.498
51 86.48 8.648
53.54 84.34 8.434
56.07 74 7.4
58.6 64.83 6.483
61.13 49.36 4.936
63.66 37.61 3.761
66.19 23.29 2.329
68.71 15.61 1.561
71.23 10.75 1.075
73.75 7.735 0.7735
76.26 5.626 0.5626
78.78 6.386 0.6386
81.29 7.854 0.7854
86.3 10.43 1.043
91.31 12.43 1.243
96.3 12.67 1.267
101.29 10.26 1.026
106.26 7.537 0.7537
111.23 4.033 0.4033
116.19 2.53 0.253
121.13 1.433 0.1433
126.07 1.132 0.1132
131 1.317 0.1317
135.93 1.631 0.1631
140.84 2.213 0.2213
145.75 2.538 0.2538
150.65 2.558 0.2558
155.55 2.406 0.2406
160.45 2.372 0.2372
165.34 2.4 0.24
170.23 2.545 0.2545
25 46
10.23 10940 1094
12.78 4998 499.8
15.34 2876 287.6
17.9 1783 178.3
20.45 1109 110.9
23 646 64.6
25.56 340.3 34.03
28.11 152.4 15.24
30.66 54.63 5.463
33.21 18.03 1.803
35.75 22.44 2.244
38.3 44.7 4.47
40.85 72.67 7.267
43.39 97.86 9.786
45.93 104 10.4
48.47 105.9 10.59
51.01 102.4 10.24
53.54 86.21 8.621
56.08 67.44 6.744
58.61 51.85 5.185
61.14 37.52 3.752
63.67 25.32 2.532
66.19 15.6 1.56
71.24 8.566 0.8566
73.75 8.298 0.8298
76.27 9.341 0.9341
78.78 10.71 1.071
81.29 11.93 1.193
86.31 12.93 1.293
91.31 11.02 1.102
96.31 7.675 0.7675
101.29 5.021 0.5021
106.27 3.009 0.3009
111.23 2.051 0.2051
116.19 1.564 0.1564
121.14 1.264 0.1264
126.08 1.022 0.1022
131.01 0.998 0.0998
135.93 1.045 0.1045
140.84 1.235 0.1235
145.75 1.287 0.1287
150.66 1.323 0.1323
155.56 1.357 0.1357
160.45 1.36 0.136
165.34 1.379 0.1379
170.23 1.46 0.146
30 47
10.23 7182 718.2
12.79 3848 384.8
15.34 2448 244.8
17.9 1552 155.2
20.45 935.3 93.53
23.01 522.3 52.23
25.56 253.8 25.38
28.11 97.65 9.765
30.66 31.02 3.102
33.21 20.05 2.005
35.76 41.07 4.107
38.3 69.04 6.904
40.85 90.42 9.042
43.39 103.2 10.32
45.93 105.8 10.58
48.47 95.53 9.553
51.01 79.89 7.989
53.55 61.16 6.116
56.08 43.33 4.333
58.61 27.1 2.71
