21. 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
47 X
10.22 14790. -3.6
12.77 6046.  -3.2
15.32 3139.  -2.8
17.88 1881.  -2.9
20.43 1112.  -2.8
22.98  651.2 -2.9
25.53  375.9 -2.9
28.08  212.7 -3.1
30.63  114.8 -3.1
33.17   64.45 -4.0
35.72   43.49  -3.0
38.26   47.60  -2.9
40.80   60.25  -2.9
43.34   75.67  -3.1
45.88   86.84  -2.9
48.42   93.76  -2.9
50.96   90.68  -2.8
53.49   80.56  -2.9
56.02   67.90  -2.8
58.55   54.63  -3.0
61.08   40.84  -2.9
63.61   28.38  -3.2
66.13   18.62  -3.2
68.65   11.16  -3.3
71.17   7.270  -3.0
73.69   5.463  -4.4
76.21   5.699  -5.3
78.72   6.892  -4.9
81.23   7.772  -3.5
86.24   11.13  -3.1
91.25   12.03  -3.0
96.24   10.33  -3.4
101.23  8.230  -3.4
106.21  5.141  -3.4
111.17  2.838  -3.2
116.13  1.734  -3.0
121.08  1.233  -3.0
126.02  1.186  -3.2
130.96  1.479  -2.9
135.88  1.924  -3.2
140.80  2.148  -3.1
145.72  2.218  -3.2
150.62  2.169  -3.1
155.53  2.026  -3.2
160.43  1.706  -3.0
165.32  1.499  -3.1
170.22  0.960  -4.0
0 A
25 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________from table
46 X
10.22 10660 -3.5
12.77 4880  -3.0
15.32 2765. -2.8
17.88 1732  -2.9
20.43 1010. -2.8
22.98 615.0 -2.9
25.53 319.2 -3.0
28.08 147.8 -3.8
30.63  53.20 -3.4
33.17  24.59  -4.2
35.72  30.81  -2.8
38.26  51.16  -3.1
40.81  79.32  -2.9
43.35  99.98  -2.9
45.89  107.4  -2.8
48.43  108.1  -2.9
50.96  94.50  -2.8
53.50  77.32  -2.9
56.03  58.05  -2.9
58.56  42.34  -3.1
61.09  28.54  -3.0
63.61  17.56  -3.5
66.14  11.24  -3.2
71.18  7.007  -3.0
73.70  8.332  -3.6
76.21  9.646  -3.6
78.73  11.12  -3.5
81.24  12.26  -3.0
86.25  11.97  -3.0
91.25  10.25  -3.7
96.25   6.281 -3.3
101.24  3.657  -4.0
106.21  2.246  -4.3
111.18  1.515  -3.3
116.14  1.475  -3.1
121.09  1.563  -3.0
126.03  1.540  -3.1
130.96  1.424  -2.9
