8. 0
Liers Nucl. Phys A170 616 (1971) ________________________ from plot
29 X
22.46 4301.4 -10.
27.47 2098.3 -10.
32.31 1299.9 -10.
33.25 1186.6 -10.
37.99 808.48 -10.
43.50 513.041 -10.
48.80 333.88 -10.
53.92 214.97 -10.
59.71 119.58 -10.
64.44 72.59 -10.
69.94 39.11 -10.
75.33 20.70 -10.
80.75 14.85 -10.
86.24 12.14 -10.
91.55 13.08 -10.
96.28 15.88 -10.
101.89 18.77 -10.
107.00 20.59 -10.
112.40 21.50 -10.
117.89 20.49 -10.
123.31 18.84 -10.
124.26 18.15 -10.
129.86 16.34 -10.
134.2  14.76 -10.
135.2 13.52 -10.
139.7 11.89 -10.
145.2 9.88 -10.
149.46 7.5 -10.
155.14 5.65 -10.
29 A
22.46 -.0098 .1
27.47 -.013  .1
32.31 -.019  .1
33.25 -.023  .1
37.99 -.023  .1
43.50 -.038  .1
48.80 -.067  .1
53.92 -.092  .1
59.71 -.132  .1
64.44 -.148  .1
69.94 -.161  .1
75.33 -.109  .1
80.75 .105   .1
86.24 .365   .1
91.55 .494   .1
96.28 .461   .1
101.89 .40   .1
107.00 .292  .1
112.40 .219  .1
117.89 .119  .1
123.31 0. .1
124.26 -.023 .1
129.86 -.128 .1
134.2  -.225 .1
135.2 -.250  .1
139.7 -.317 .1
145.2 -.442 .1
149.46 -.525 .1
155.14 -.557 .1
10 1
Liers Nucl. Phys A170 616 (1971) ________________________from plot
27 X
22.46 2486.2   -10.
27.47 1342.9   -10.
32.31 831.99   -10.
33.25 759.46   -10.
37.99 517.42   -10.
43.50 314.87   -10.
48.80 196.43   -10.
53.92 116.361  -10.
59.71 60.07    -10.
64.44 32.35    -10.
69.94 14.76    -10.
75.33 7.36     -10.
80.75 6.011    -10.
86.24 8.13     -10.
91.55 11.69    -10.  
96.28 15.30    -10.
101.89 17.44   -10.
107.00 17.31   -10.
112.40 17.35   -10.
117.89 14.91   -10.
123.31 11.56   -10.
124.26 11.02   -10.
129.86 8.172   -10.
134.2 6.0      -10.
135.2 5.18     -10.
139.7 3.91     -10.
145.2 2.04     -10.
29 A
22.46 -.0096 .1
27.47 0      .1
32.31 .023   .1
33.25 .023   .1
37.99 .028   .1
43.50 .028   .1
48.80 .011   .1
53.92 -.040  .1
59.71 -.125  .1
64.44 -.263  .1
69.94 -.384  .1
75.33 -.246  .1
80.75 .328   .1
86.24 .638   .1
91.55 .569   .1
96.28 .442   .1
101.89 .359  .1
107.00 .246  .1
112.40 .138  .1
117.89 .086  .1
123.31 -.019 .1
124.26 -.036 .1
129.86 -.232 .1
134.2  -.328 .1
135.2  -.434 .1
139.7 -.561 .1
145.2 -.807 .1
139.7 -.630 .1
145.2 -.115 .1
12.0 1
Liers Nucl. Phys A170 616 (1971) ________________________from plot
27 X
22.46 1726.5   -10.
27.47 977.43   -10.
32.31 614.076  -10.
33.25 554.28   -10.
37.99 369.69   -10.
43.50 222.05   -10.
48.80 136.41   -10.
53.92 84.89    -10.
59.71 44.77    -10.
64.44 26.041   -10.
69.94 12.68    -10.
75.33 6.92     -10.
80.75 6.198    -10.
86.24 8.985    -10.
91.55 12.58    -10.  
96.28 14.55    -10.
101.89 14.39   -10.
107.00 13.76   -10.
112.40 11.71   -10.
117.89 8.316   -10.
123.31 4.74    -10.
124.26 4.291   -10.
129.86 2.172   -10.
134.2  1.383   -10.
135.2 1.246    -10.
139.7 1.85     -10.
145.2 2.106    -10.
27 A
22.46 -0.019 .1
27.47 .013   .1
32.31 .038   .1
33.25 .042   .1
37.99 .046   .1
43.50 .046   .1
48.80 -.034  .1
53.92 -.167  .1
59.71 -.346  .1
64.44 -.538  .1
69.94 -.634  .1
75.33 -.128  .1
80.75 .607   .1
86.24 .717   .1
91.55 .50    .1
96.28 .288   .1 
101.89 .09   .1
107.00 -.115 .1
112.40 -.242 .1
117.89 -.403 .1
123.31 -.653 .1
124.26 -.70  .1
129.86 -1.04 .1
134.2  -.838 .1
135.2  -.817 .1
139.7 .135   .1
145.2 .788   .1
14.03  1
Lombardi et al, Nucl. Phys. A188 103 (1972) _____________________from plot
27 X
35.8   289   -10.
40.99  190.6 -10.
46.38  117.7 -10.
51.4   79.61 -10.
56.34  55.25 -10.
61.65  35.50 -10.
66.43  18.10 -10.
71.01  8.008 -10.
75.85  4.69  -10.
80.97  4.91  -10.
85.95  8.41  -10.
90.58  12.66 -10.
95.84  14.64 -10.
101.09 14.48 -10.
105.33 12.71 -10.
110.98 8.996 -10.
115.70 5.43  -10.
120.74 2.59  -10.
125.6  .954  -10.
131    .456  -10.
135.89 1.023 -10.
140.46 2.106 -10.
145.85 3.167 -10.
150.69 4.53  -10.
155.8  5.32  -10.
160.65 6.102 -10.
165.36 6.662 -10.
26 A
35.8   .071   .1
40.99  .060   .1
46.38  -.0192 .1
51.4   -.164  .1
56.34  -.324  .1
61.65  -.466  .1
66.43  -.576  .1
71.01  -.714  .1
75.85   0     .1
80.97  .934   .1
85.95  .722   .1
90.58  .412   .1
95.84  .142   .1
101.09 -.0494 .1
105.33 -.2155 .1
110.98 -.379  .1
115.70 -.604  .1
120.74 -.796  .1
125.6  -1.167 .1
131    .219   .1
135.89 1.048  .1
140.46 .920   .1
145.85 .942   .1
150.69 .914   .1
155.8  .942   .1
160.65 .884   .1
15.05  1
Lombardi et al, Nucl. Phys. A188 103 (1972) _____________________from plot
28 X
30.76  375.   -10. 
35.8   209.5  -10. 
40.99  132.04 -10. 
46.38  89.66  -10. 
51.4   69.25  -10. 
56.34  50.93  -10. 
61.65  33.13  -10. 
66.43  17.90  -10. 
71.01  7.911  -10. 
75.85  3.74   -10. 
80.97  4.34   -10. 
85.95  7.75   -10. 
90.58  11.23  -10. 
95.84  13.18  -10. 
