NEnergy= 43.8456   Entries 12
0    0.0126709   0.0257036   
1    0.0479314   0.0237356   
2    0.0367647   0.0485604   
3    0.0557095   0.0644863   
4    0.103263    0.0750003   
5    0.130249    0.0865284   
6    0.0317756   0.151597    
7    0.0536958   0.0155326   
8    0.00547312  0.0238153   
9    0.00750723  0           
10   0           0           
11   0           0           
NEnergy= 43.7456   Entries 12
0    0.0138987   0.029056    
1    0.0523898   0.0236719   
2    0.035358    0.0482711   
3    0.0518971   0.0641637   
4    0.106037    0.0714051   
5    0.131927    0.087588    
6    0.0298892   0.152092    
7    0.0499877   0.0152908   
8    0.00568078  0.0235479   
9    0.0078497   0           
10   0           0           
11   0           0           
NEnergy= 43.6456   Entries 12
0    0.0152782   0.0328517   
1    0.0575236   0.0236226   
2    0.033872    0.048143    
3    0.0479935   0.0637737   
4    0.109223    0.0674422   
5    0.13365     0.0887085   
6    0.0277195   0.152303    
7    0.0457192   0.0149112   
8    0.00593378  0.0230709   
9    0.00825992  0           
10   0           0           
11   0           0           
NEnergy= 43.5456   Entries 12
0    0.0166006   0.036566    
1    0.0625919   0.0235412   
2    0.0324714   0.0481225   
3    0.0445136   0.0633911   
4    0.112566    0.0636077   
5    0.13529     0.089795    
6    0.0255626   0.152252    
7    0.0414699   0.0143976   
8    0.00620174  0.0223707   
9    0.00868748  0           
10   0           0           
11   0           0           
NEnergy= 43.4456   Entries 12
0    0.0176173   0.0395571   
1    0.0666658   0.0233737   
2    0.0313308   0.0480935   
3    0.0419532   0.063129    
4    0.115721    0.0604831   
5    0.136745    0.0907511   
6    0.02378     0.152077    
7    0.0379519   0.0137865   
8    0.00643904  0.0214856   
9    0.00906034  0           
10   0           0           
11   0           0           
NEnergy= 43.3456   Entries 12
0    0.0181606   0.0413727   
1    0.0690728   0.0230897   
2    0.0305528   0.0479351   
3    0.0405444   0.063087    
4    0.118405    0.0584611   
5    0.137986    0.0915178   
6    0.0226249   0.151968    
7    0.03567     0.0131352   
8    0.00660476  0.0204956   
9    0.00931672  0           
10   0           0           
11   0           0           
NEnergy= 43.2456   Entries 12
0    0.0182159   0.0419432   
1    0.06969     0.0226996   
2    0.0301317   0.0475884   
3    0.040181    0.0633046   
4    0.120508    0.0575861   
5    0.139056    0.0920896   
6    0.0221352   0.15207     
7    0.0347077   0.0124954   
8    0.00668016  0.0194863   
9    0.00943136  0           
10   0           0           
11   0           0           
NEnergy= 43.1456   Entries 12
0    0.0178871   0.0415041   
1    0.0688433   0.022242    
2    0.029987    0.0470622   
3    0.0405457   0.0637658   
4    0.12209     0.0576354   
5    0.140042    0.0924995   
6    0.0221703   0.152437    
7    0.0347965   0.0118955   
8    0.00666823  0.0185151   
9    0.00941293  0           
10   0           0           
11   0           0           
NEnergy= 43.0456   Entries 12
0    0.0173248   0.0404259   
1    0.0670695   0.0217685   
2    0.0300232   0.0464371   
3    0.0413255   0.0644014   
4    0.123268    0.0582814   
5    0.140982    0.0927801   
6    0.022531    0.153004    
7    0.0355459   0.0113433   
8    0.006588    0.0176074   
9    0.00929313  0           
10   0           0           
11   0           0           
NEnergy= 42.9456   Entries 12
0    0.016655    0.0390226   
1    0.0648309   0.021321    
2    0.030166    0.0457924   
3    0.0422896   0.0651479   
4    0.124162    0.0592538   
5    0.141901    0.0929557   
6    0.0230429   0.153687    
7    0.0366132   0.010834    
8    0.00645784  0.0167658   
9    0.00910144  0           
10   0           0           
11   0           0           
NEnergy= 42.8456   Entries 12
0    0.0159673   0.0375229   
1    0.062472    0.0209329   
2    0.0303732   0.0452127   
3    0.0433241   0.0659388   
4    0.124838    0.0603639   
5    0.142775    0.0930326   
6    0.0235931   0.154378    
7    0.0377721   0.0103614   
8    0.00629398  0.0159859   
9    0.0088627   0           
10   0           0           
11   0           0           
NEnergy= 42.7456   Entries 12
0    0.0153185   0.0360787   
1    0.0602315   0.0206359   
2    0.0306336   0.0447986   
3    0.0444285   0.0666948   
4    0.125281    0.0614963   
5    0.143497    0.092993    
6    0.0241377   0.154949    
7    0.0389286   0.00992392  
8    0.00610975  0.0152672   
9    0.00859626  0           
10   0           0           
11   0           0           
NEnergy= 42.6456   Entries 12
0    0.0147317   0.03474     
1    0.0581785   0.0204221   
2    0.0309157   0.0445093   
3    0.0454892   0.0674432   
4    0.125615    0.0626022   
5    0.144204    0.0928699   
6    0.0245959   0.155442    
7    0.0399288   0.00950867  
8    0.00590678  0.0145917   
9    0.00830527  0           
10   0           0           
11   0           0           
NEnergy= 42.5456   Entries 12
0    0.0142216   0.0335475   
1    0.0563778   0.0202946   
2    0.0312131   0.0443636   
3    0.0465037   0.0681602   
4    0.125857    0.0636491   
5    0.144882    0.0926674   
6    0.0249488   0.155825    
7    0.0407321   0.00911276  
8    0.00569128  0.0139547   
9    0.00799836  0           
10   0           0           
11   0           0           
NEnergy= 42.4456   Entries 12
0    0.0137921   0.0325149   
1    0.0548529   0.0202518   
2    0.031523    0.044368    
3    0.0474788   0.0688317   
4    0.12602     0.0646258   
5    0.145522    0.0923887   
6    0.0251911   0.156077    
7    0.0413252   0.0087346   
8    0.00546792  0.0133526   
9    0.00768184  0           
10   0           0           
11   0           0           
NEnergy= 42.3456   Entries 12
0    0.0134414   0.031641    
1    0.0536031   0.0202897   
2    0.0318448   0.0445209   
3    0.0484246   0.0694519   
4    0.126112    0.0655334   
5    0.146124    0.0920351   
6    0.0253242   0.156187    
7    0.0417086   0.00837342  
8    0.00524065  0.0127833   
9    0.00736095  0           
10   0           0           
11   0           0           
NEnergy= 42.2456   Entries 12
0    0.0131647   0.0309166   
1    0.0526152   0.0204034   
2    0.0321803   0.0448175   
3    0.0493544   0.0700211   
4    0.12614     0.0663803   
5    0.146683    0.091606    
6    0.0253535   0.156144    
7    0.0418914   0.00802922  
8    0.00501331  0.0122452   
9    0.00704078  0           
10   0           0           
11   0           0           
NEnergy= 42.1456   Entries 12
0    0.012954    0.0303239   
1    0.0518618   0.0205851   
2    0.0325326   0.0452431   
3    0.0502778   0.0705538   
4    0.126119    0.0671832   
5    0.147206    0.0910997   
6    0.0252829   0.155941    
7    0.0418808   0.00770173  
8    0.00478986  0.0117368   
9    0.00672668  0           
10   0           0           
11   0           0           
NEnergy= 42.0456   Entries 12
0    0.012802    0.0298476   
1    0.0513212   0.020833    
2    0.0329141   0.0458012   
3    0.0512294   0.0710629   
4    0.126039    0.067965    
5    0.14767     0.090498    
6    0.0251251   0.155538    
7    0.0417017   0.00739289  
8    0.00457495  0.0112596   
9    0.0064249   0           
10   0           0           
11   0           0           
NEnergy= 41.9456   Entries 12
0    0.0126984   0.0294641   
1    0.0509582   0.021143    
2    0.0333409   0.0464865   
3    0.0522434   0.0715805   
4    0.125903    0.0687604   
5    0.148059    0.0897761   
6    0.0248901   0.154887    
7    0.0413748   0.00710421  
8    0.00437332  0.0108147   
9    0.00614193  0           
10   0           0           
11   0           0           
NEnergy= 41.8456   Entries 12
0    0.0126359   0.0291578   
1    0.0507527   0.0215201   
2    0.0338403   0.0473202   
3    0.0533849   0.0721299   
4    0.125677    0.0696064   
5    0.148314    0.088892    
6    0.0245993   0.153906    
7    0.0409425   0.00684003  
8    0.00418975  0.0104075   
9    0.00588427  0           
10   0           0           
11   0           0           
NEnergy= 41.7456   Entries 12
0    0.0126166   0.0289377   
1    0.0507316   0.0219889   
2    0.0344526   0.0483798   
3    0.0547686   0.0726975   
4    0.125253    0.0705291   
5    0.148283    0.0877798   
6    0.0242919   0.152463    
7    0.0404802   0.00660976  
8    0.00402823  0.0100517   
9    0.00565721  0           
10   0           0           
11   0           0           
NEnergy= 41.6456   Entries 12
0    0.0126107   0.0287236   
1    0.0507527   0.0225081   
2    0.0351734   0.0495392   
3    0.0563186   0.0734023   
4    0.124764    0.0715952   
5    0.148143    0.0864616   
6    0.0239455   0.150627    
7    0.039952    0.00640391  
8    0.00388765  0.00973201  
9    0.00545944  0           
10   0           0           
11   0           0           
NEnergy= 41.5456   Entries 12
0    0.0126105   0.0284943   
1    0.0507819   0.0230738   
2    0.0360093   0.050785    
3    0.0580387   0.0742524   
4    0.124191    0.0728211   
5    0.147888    0.0849411   
6    0.0235789   0.148415    
7    0.0393957   0.00622254  
8    0.00376499  0.00944876  
9    0.00528665  0           
10   0           0           
11   0           0           
NEnergy= 41.4456   Entries 12
0    0.0126128   0.0282367   
1    0.050797    0.0236812   
2    0.0369513   0.0520968   
3    0.0599003   0.0752336   
4    0.123517    0.0742006   
5    0.147534    0.0832454   
6    0.0232059   0.145899    
7    0.0388382   0.00606388  
8    0.00365459  0.00919984  
9    0.00513086  0           
10   0           0           
11   0           0           
NEnergy= 41.3456   Entries 12
0    0.0126174   0.0279453   
1    0.0507868   0.0243235   
2    0.0379793   0.0534494   
3    0.0618525   0.0763189   
4    0.122738    0.0757109   
5    0.147118    0.0814164   
6    0.0228333   0.143177    
7    0.0382926   0.00592491  
8    0.0035503   0.00898148  
9    0.00498342  0           
10   0           0           
11   0           0           
NEnergy= 41.2456   Entries 12
0    0.0126253   0.0276198   
1    0.0507469   0.0249916   
2    0.0390671   0.0548153   
3    0.0638375   0.0774785   
4    0.121863    0.0773218   
5    0.146685    0.0795013   
6    0.0224623   0.140348    
7    0.0377601   0.00580221  
8    0.00344748  0.0087892   
9    0.00483784  0           
10   0           0           
11   0           0           
NEnergy= 41.1456   Entries 12
0    0.0126356   0.0272602   
1    0.0506702   0.0256709   
2    0.0401854   0.0561591   
3    0.0657951   0.0786898   
4    0.120923    0.0790018   
5    0.146286    0.0775499   
6    0.0220888   0.13751     
7    0.0372309   0.00569184  
8    0.00334378  0.00861736  
9    0.00469086  0           
10   0           0           
11   0           0           
NEnergy= 41.0456   Entries 12
0    0.0126484   0.0268757   
1    0.050562    0.0263479   
2    0.0413066   0.0574574   
3    0.0676828   0.0799276   
4    0.119952    0.0807168   
5    0.145954    0.0756032   
6    0.0217088   0.134727    
7    0.0366946   0.00559102  
8    0.00323925  0.00846182  
9    0.00454259  0           
10   0           0           
11   0           0           
NEnergy= 40.9456   Entries 12
0    0.0126617   0.0264759   
1    0.0504247   0.0270047   
2    0.0424009   0.0586817   
3    0.0694587   0.0811717   
4    0.119001    0.0824315   
5    0.145728    0.0737043   
6    0.0213165   0.132058    
7    0.036136    0.00549655  
8    0.0031353   0.00831744  
9    0.00439509  0           
10   0           0           
11   0           0           
NEnergy= 40.8456   Entries 12
0    0.0126815   0.0263082   
1    0.0506831   0.0278255   
2    0.0434671   0.0607655   
3    0.0723767   0.0815142   
