NEnergy= 41.6138   Entries 12
0    0.00684872  0.0226905   
1    0.0545532   0.0158585   
2    0.0250174   0.0689735   
3    0.0840914   0.0332607   
4    0.0484238   0.0884453   
5    0.109058    0.0531796   
6    0.0323894   0.154944    
7    0.0964306   0.014506    
8    0.00511851  0.0456669   
9    0.0405439   0           
10   0           0           
11   0           0           
NEnergy= 41.5138   Entries 12
0    0.0065947   0.0225041   
1    0.0545382   0.0151223   
2    0.0236914   0.0689756   
3    0.0843137   0.0314185   
4    0.0457491   0.089506    
5    0.111756    0.0506336   
6    0.0313532   0.157498    
7    0.0991445   0.0138278   
8    0.00488495  0.0456955   
9    0.0427932   0           
10   0           0           
11   0           0           
NEnergy= 41.4138   Entries 12
0    0.00635694  0.0223359   
1    0.0545675   0.0144201   
2    0.022389    0.0689932   
3    0.0845061   0.0295847   
4    0.0430308   0.0905395   
5    0.114451    0.0479797   
6    0.0301988   0.160068    
7    0.101849    0.0130986   
8    0.00463706  0.0457237   
9    0.0452701   0           
10   0           0           
11   0           0           
NEnergy= 41.3138   Entries 12
0    0.00614103  0.0221984   
1    0.054663    0.0137676   
2    0.0211383   0.0690546   
3    0.0846918   0.0277969   
4    0.0403228   0.0915403   
5    0.117098    0.0452621   
6    0.0289397   0.162598    
7    0.104437    0.0123317   
8    0.00437795  0.0457596   
9    0.0478816   0           
10   0           0           
11   0           0           
NEnergy= 41.2138   Entries 12
0    0.00595173  0.0221035   
1    0.0548448   0.0131785   
2    0.019966    0.0691871   
3    0.0848942   0.0260897   
4    0.0376783   0.0925026   
5    0.119652    0.0425302   
6    0.0275954   0.165034    
7    0.106809    0.0115435   
8    0.00411135  0.0458128   
9    0.050516    0           
10   0           0           
11   0           0           
NEnergy= 41.1138   Entries 12
0    0.00579212  0.0220601   
1    0.0551274   0.0126622   
2    0.0188936   0.0694134   
3    0.0851347   0.0244929   
4    0.0351474   0.0934222   
5    0.122075    0.0398344   
6    0.0261893   0.167332    
7    0.108886    0.0107512   
8    0.00384149  0.0458915   
9    0.0530535   0           
10   0           0           
11   0           0           
NEnergy= 41.0138   Entries 12
0    0.00566328  0.0220738   
1    0.0555195   0.012223    
2    0.0179359   0.0697507   
3    0.0854311   0.0230283   
4    0.0327702   0.0942966   
5    0.12434     0.0372188   
6    0.0247461   0.169458    
7    0.110617    0.00997115  
8    0.00357267  0.046002    
9    0.0553809   0           
10   0           0           
11   0           0           
NEnergy= 40.9138   Entries 12
0    0.00556446  0.0221471   
1    0.0560237   0.0118605   
2    0.0170998   0.0702092   
3    0.0857965   0.0217085   
4    0.0305745   0.0951246   
5    0.126429    0.0347187   
6    0.0232904   0.171391    
7    0.111984    0.00921789  
8    0.00330903  0.0461479   
9    0.0574031   0           
10   0           0           
11   0           0           
NEnergy= 40.8138   Entries 12
0    0.00549308  0.022278    
1    0.0566349   0.0115693   
2    0.0163847   0.0707906   
3    0.086238    0.0205374   
4    0.0285771   0.0959071   
5    0.128333    0.0323597   
6    0.0218441   0.173123    
7    0.112993    0.0085027   
8    0.00305438  0.0463286   
9    0.0590512   0           
10   0           0           
11   0           0           
NEnergy= 40.7138   Entries 12
0    0.0054454   0.0224619   
1    0.057343    0.0113406   
2    0.0157835   0.0714892   
3    0.086757    0.0195107   
4    0.0267817   0.0966463   
5    0.130054    0.030158    
6    0.0204271   0.174652    
7    0.113677    0.00783355  
8    0.00281197  0.0465403   
9    0.0602868   0           
10   0           0           
11   0           0           
NEnergy= 40.6138   Entries 12
0    0.00541696  0.0226914   
1    0.0581335   0.0111637   
2    0.0152843   0.0722935   
3    0.0873507   0.0186179   
4    0.025183    0.0973464   
5    0.131597    0.0281206   
6    0.0190546   0.175988    
7    0.114081    0.00721496  
8    0.00258434  0.0467759   
9    0.0611015   0           
10   0           0           
11   0           0           
NEnergy= 40.5138   Entries 12
0    0.00540316  0.0229575   
1    0.0589888   0.0110272   
2    0.014872    0.0731874   
3    0.0880138   0.017845    
4    0.023769    0.0980137   
5    0.132977    0.0262479   
6    0.0177386   0.177143    
