
& spin up

& Energia: 0.0285612  Momento angular orbital: 4  Momento angular total: 4
0.01  -7.06577e-14  8.04438e-15
0.02  -2.26016e-12  2.5732e-13
0.03  -1.71554e-11  1.95315e-12
0.04  -7.22511e-11  8.22589e-12
0.05  -2.20338e-10  2.50859e-11
0.06  -5.47812e-10  6.237e-11
0.07  -1.18289e-09  1.34677e-10
0.08  -2.30369e-09  2.62287e-10
0.09  -4.14619e-09  4.7207e-10
0.1  -7.01199e-09  7.98369e-10
0.11  -1.12759e-08  1.28386e-09
0.12  -1.73933e-08  1.98041e-09
0.13  -2.59072e-08  2.94987e-09
0.14  -3.74555e-08  4.26486e-09
0.15  -5.2777e-08  6.00954e-09
0.16  -7.27181e-08  8.28033e-09
0.17  -9.82387e-08  1.11866e-08
0.18  -1.30418e-07  1.48512e-08
0.19  -1.7046e-07  1.94113e-08
0.2  -2.19696e-07  2.50188e-08
0.21  -2.79595e-07  3.18409e-08
0.22  -3.51762e-07  4.00604e-08
0.23  -4.37942e-07  4.98765e-08
0.24  -5.40029e-07  6.15048e-08
0.25  -6.60063e-07  7.51779e-08
0.26  -8.00234e-07  9.11455e-08
0.27  -9.62885e-07  1.09675e-07
0.28  -1.15051e-06  1.31051e-07
0.29  -1.36577e-06  1.55575e-07
0.3  -1.61146e-06  1.83569e-07
0.31  -1.89055e-06  2.15369e-07
0.32  -2.20616e-06  2.51333e-07
0.33  -2.56155e-06  2.91832e-07
0.34  -2.96015e-06  3.37257e-07
0.35  -3.40553e-06  3.88017e-07
0.36  -3.90141e-06  4.44537e-07
0.37  -4.45166e-06  5.07257e-07
0.38  -5.06028e-06  5.76635e-07
0.39  -5.73141e-06  6.53144e-07
0.4  -6.46934e-06  7.37273e-07
0.41  -7.27845e-06  8.29525e-07
0.42  -8.16327e-06  9.30416e-07
0.43  -9.12843e-06  1.04048e-06
0.44  -1.01787e-05  1.16025e-06
0.45  -1.13189e-05  1.29029e-06
0.46  -1.25539e-05  1.43116e-06
0.47  -1.38889e-05  1.58344e-06
0.48  -1.53288e-05  1.74771e-06
0.49  -1.68789e-05  1.92457e-06
0.5  -1.85444e-05  2.1146e-06
0.51  -2.03306e-05  2.31843e-06
0.52  -2.22427e-05  2.53664e-06
0.53  -2.42861e-05  2.76987e-06
0.54  -2.64662e-05  3.01872e-06
0.55  -2.87883e-05  3.2838e-06
0.56  -3.12577e-05  3.56574e-06
0.57  -3.38799e-05  3.86515e-06
0.58  -3.666e-05  4.18263e-06
0.59  -3.96034e-05  4.5188e-06
0.6  -4.27153e-05  4.87424e-06
0.61  -4.60007e-05  5.24956e-06
0.62  -4.94648e-05  5.64533e-06
0.63  -5.31124e-05  6.06212e-06
0.64  -5.69485e-05  6.5005e-06
0.65  -6.09777e-05  6.96102e-06
0.66  -6.52046e-05  7.4442e-06
0.67  -6.96337e-05  7.95055e-06
0.68  -7.42692e-05  8.48058e-06
0.69  -7.91151e-05  9.03475e-06
0.7  -8.41755e-05  9.61353e-06
0.71  -8.94539e-05  1.02173e-05
0.72  -9.49539e-05  1.08466e-05
0.73  -0.000100679  1.15017e-05
0.74  -0.000106631  1.21829e-05
0.75  -0.000112814  1.28906e-05
0.76  -0.00011923  1.36252e-05
0.77  -0.000125881  1.43867e-05
0.78  -0.000132769  1.51756e-05
0.79  -0.000139896  1.59919e-05
0.8  -0.000147262  1.68358e-05
0.81  -0.00015487  1.77075e-05
0.82  -0.000162718  1.8607e-05
0.83  -0.000170808  1.95344e-05
0.84  -0.000179139  2.04896e-05
0.85  -0.000187711  2.14726e-05
0.86  -0.000196523  2.24833e-05
0.87  -0.000205573  2.35216e-05
0.88  -0.00021486  2.45873e-05
0.89  -0.000224381  2.56802e-05
0.9  -0.000234135  2.68e-05
0.91  -0.000244118  2.79464e-05
0.92  -0.000254326  2.91189e-05
0.93  -0.000264756  3.03173e-05
0.94  -0.000275404  3.1541e-05
0.95  -0.000286265  3.27894e-05
0.96  -0.000297333  3.4062e-05
0.97  -0.000308603  3.53583e-05
0.98  -0.000320069  3.66774e-05
0.99  -0.000331724  3.80187e-05
1  -0.000343562  3.93814e-05
1.01  -0.000355574  4.07647e-05
1.02  -0.000367753  4.21676e-05
1.03  -0.000380091  4.35893e-05
1.04  -0.000392578  4.50287e-05
1.05  -0.000405206  4.64847e-05
1.06  -0.000417964  4.79564e-05
1.07  -0.000430843  4.94426e-05
1.08  -0.000443832  5.0942e-05
1.09  -0.000456919  5.24534e-05
1.1  -0.000470094  5.39755e-05
1.11  -0.000483345  5.55071e-05
1.12  -0.000496659  5.70466e-05
1.13  -0.000510024  5.85928e-05
1.14  -0.000523426  6.0144e-05
1.15  -0.000536853  6.16988e-05
1.16  -0.00055029  6.32556e-05
1.17  -0.000563724  6.48129e-05
1.18  -0.00057714  6.63689e-05
1.19  -0.000590523  6.79221e-05
1.2  -0.000603859  6.94707e-05
1.21  -0.000617131  7.10129e-05
1.22  -0.000630325  7.2547e-05
1.23  -0.000643424  7.40712e-05
1.24  -0.000656414  7.55837e-05
1.25  -0.000669276  7.70826e-05
1.26  -0.000681995  7.8566e-05
1.27  -0.000694555  8.0032e-05
1.28  -0.000706938  8.14788e-05
1.29  -0.000719127  8.29043e-05
1.3  -0.000731106  8.43067e-05
1.31  -0.000742858  8.56839e-05
1.32  -0.000754365  8.7034e-05
1.33  -0.00076561  8.83551e-05
1.34  -0.000776576  8.96451e-05
1.35  -0.000787246  9.09021e-05
1.36  -0.000797603  9.21242e-05
1.37  -0.000807629  9.33092e-05
1.38  -0.000817308  9.44554e-05
1.39  -0.000826623  9.55607e-05
1.4  -0.000835557  9.66233e-05
1.41  -0.000844093  9.76411e-05
1.42  -0.000852216  9.86123e-05
1.43  -0.000859908  9.95351e-05
1.44  -0.000867154  0.000100408
1.45  -0.000873939  0.000101228
1.46  -0.000880246  0.000101994
1.47  -0.000886062  0.000102705
1.48  -0.000891371  0.000103358
1.49  -0.000896159  0.000103952
1.5  -0.000900412  0.000104486
1.51  -0.000904117  0.000104957
1.52  -0.00090726  0.000105365
1.53  -0.000909829  0.000105707
1.54  -0.000911812  0.000105982
1.55  -0.000913198  0.00010619
1.56  -0.000913975  0.000106328
1.57  -0.000914133  0.000106395
1.58  -0.000913662  0.000106391
1.59  -0.000912553  0.000106314
1.6  -0.000910798  0.000106162
1.61  -0.000908388  0.000105936
1.62  -0.000905316  0.000105634
1.63  -0.000901577  0.000105256
1.64  -0.000897163  0.0001048
1.65  -0.000892069  0.000104266
1.66  -0.000886293  0.000103654
1.67  -0.000879829  0.000102962
